Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1587842328,pabascal2014,0,241.56,DST Bills  FLEX Mark Ingram II WR Jarvis Landry WR Jamison Crowder WR Sammy Watkins TE Austin Hooper RB Christian McCaffrey QB Lamar Jackson RB Saquon Barkley,,Dalvin Cook,RB,46.29%,29
2,1592507274,sammygu,0,229.36,DST Vikings  RB Le'Veon Bell WR Jarvis Landry WR Tyler Boyd RB Austin Ekeler FLEX Christian McCaffrey WR Dede Westbrook QB Lamar Jackson TE T.J. Hockenson,,Chris Carson,FLEX,35.37%,25.1
3,1592147283,GarryW61,0,225.62,DST Panthers  WR Larry Fitzgerald FLEX Travis Kelce WR Randall Cobb RB David Johnson WR Sammy Watkins TE Blake Jarwin RB Christian McCaffrey QB Patrick Mahomes,,Dede Westbrook,WR,34.93%,14.2
4,1591578033,gpace28,0,218.92,DST Ravens  WR Larry Fitzgerald FLEX Mark Ingram II WR T.Y. Hilton RB Le'Veon Bell WR Tyler Lockett QB Carson Wentz TE Evan Engram RB Dalvin Cook,,Adam Thielen,WR,31.00%,13.3
5,1591039599,MattTheBigCat,0,215.52,DST 49ers  TE Travis Kelce WR Marvin Jones Jr. QB Carson Wentz WR Sterling Shepard RB Austin Ekeler RB Dalvin Cook FLEX Christian McCaffrey WR Dede Westbrook,,Chris Godwin,WR,27.95%,14.3
6,1587712415,congy01,0,215.02,DST Ravens  WR Keenan Allen QB Carson Wentz TE Hunter Henry FLEX Austin Ekeler WR Curtis Samuel RB Dalvin Cook RB Christian McCaffrey WR Dede Westbrook,,Hunter Henry,TE,25.76%,10
7,1581186049,JamiesonILee,0,207.32,DST Ravens  QB Carson Wentz TE Evan Engram WR Curtis Samuel RB Dalvin Cook RB Christian McCaffrey WR Chris Godwin WR Dede Westbrook FLEX Chris Carson,,Leonard Fournette,RB,25.76%,12.4
7,1588743475,conwayjack,0,207.32,DST Ravens  QB Carson Wentz TE Evan Engram WR Curtis Samuel RB Dalvin Cook RB Christian McCaffrey WR Chris Godwin WR Dede Westbrook FLEX Chris Carson,,Christian McCaffrey,RB,23.58%,45.9
7,1589413398,Rebecca40,0,207.32,DST Ravens  QB Carson Wentz TE Evan Engram WR Curtis Samuel RB Dalvin Cook RB Christian McCaffrey WR Chris Godwin WR Dede Westbrook FLEX Chris Carson,,Ravens ,DST,21.40%,13
7,1589447420,Timberwolves16,0,207.32,DST Ravens  QB Carson Wentz TE Evan Engram WR Curtis Samuel RB Dalvin Cook FLEX Christian McCaffrey WR Chris Godwin WR Dede Westbrook RB Chris Carson,,Tyler Lockett,WR,20.96%,11.4
7,1591754539,Nunchaku,0,207.32,DST Ravens  QB Carson Wentz TE Evan Engram WR Curtis Samuel RB Dalvin Cook RB Christian McCaffrey WR Chris Godwin WR Dede Westbrook FLEX Chris Carson,,Carson Wentz,QB,20.52%,28.02
12,1590799741,BankruptcyBro,0,203.92,DST 49ers  WR Tyler Lockett QB Carson Wentz WR Adam Thielen TE Hunter Henry RB Dalvin Cook RB Christian McCaffrey WR Dede Westbrook FLEX Chris Carson,,Saquon Barkley,RB,17.90%,20.9
13,1584563082,HalezYeah,0,199.8,DST Ravens  WR T.Y. Hilton WR Robert Woods WR Jarvis Landry QB Jacoby Brissett FLEX Adam Thielen TE Evan Engram RB Austin Ekeler RB Dalvin Cook,,Seahawks ,DST,17.90%,12
14,1588050835,abmusicwriter,0,197.96,DST Seahawks  FLEX Mark Ingram II WR Kenny Golladay TE Hunter Henry RB Christian McCaffrey WR Chris Godwin WR Dede Westbrook QB Lamar Jackson RB Chris Carson,,Nick Chubb,FLEX,17.90%,11.5
15,1589545600,jdoz5133,0,194.92,DST Jets  QB Kirk Cousins WR Odell Beckham Jr. WR Jamison Crowder TE Hunter Henry RB Dalvin Cook FLEX Christian McCaffrey WR Dede Westbrook RB Chris Carson,,Curtis Samuel,WR,17.90%,6.2
16,1589223371,tgeho,0,193.2,DST Browns  FLEX DeSean Jackson WR Julio Jones RB Le'Veon Bell WR Jarvis Landry QB Dak Prescott WR Cooper Kupp TE Mark Andrews RB Dalvin Cook,,Evan Engram,TE,15.72%,31.6
17,1588756856,Mambamo,0,192.82,DST Seahawks  QB Carson Wentz WR Tyler Boyd TE Hunter Henry RB Dalvin Cook RB Christian McCaffrey WR Chris Godwin WR Dede Westbrook FLEX Chris Carson,,Mark Ingram II,RB,15.28%,25.7
18,1580276489,nfl7878,0,190.52,DST Ravens  QB Kirk Cousins WR Mike Evans WR Sammy Watkins FLEX Malcolm Brown TE Cole Hunt RB Dalvin Cook RB Christian McCaffrey WR Calvin Ridley,,Tyreek Hill,WR,13.54%,4.1
19,1589353400,dubscg,0,190.5,DST Ravens  QB Matthew Stafford RB Mark Ingram II FLEX David Johnson WR Tyler Lockett WR Adam Thielen TE Evan Engram RB Leonard Fournette WR Michael Gallup,,Lamar Jackson,QB,12.23%,36.56
20,1570676663,ejm1001,0,189.86,DST Seahawks  WR Albert Wilson WR Adam Thielen TE Mark Andrews FLEX Nick Chubb RB Christian McCaffrey WR Chris Godwin QB Lamar Jackson RB Chris Carson,,Le'Veon Bell,FLEX,11.35%,23.2
21,1589996687,ThunderDumper,0,189.76,DST Ravens  WR Kenny Golladay WR Tyler Boyd TE Evan Engram RB Leonard Fournette FLEX Dalvin Cook QB Lamar Jackson WR DJ Moore RB Chris Carson,,Travis Kelce,TE,11.35%,11.8
22,1591778029,MrJohnMic,0,189.46,DST 49ers  WR Tyler Lockett WR Amari Cooper WR Adam Thielen TE Hunter Henry RB Nick Chubb FLEX Dalvin Cook QB Lamar Jackson RB Chris Carson,,Jarvis Landry,WR,10.92%,11.7
