PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Chris Carson,RB,SEA,CIN,-110,44.00,-9.50,26.75,5700,16.4,2.9,39.16
Saquon Barkley,RB,NYG,@DAL,-115,45.50,7.50,19.00,9000,23.9,2.7,28.14
Mike Evans,WR,TB,SF,-110,51.00,-1.00,26.00,7900,19.0,2.4,27.83
Amari Cooper,WR,DAL,NYG,-105,45.50,-7.50,26.50,7000,17.0,2.4,27.51
Dak Prescott,QB,DAL,NYG,-105,45.50,-7.50,26.50,5900,20.5,3.5,26.00
Jameis Winston,QB,TB,SF,-110,51.00,-1.00,26.00,6600,24.6,3.7,23.27
Tyler Lockett,WR,SEA,CIN,-110,44.00,-9.50,26.75,6000,13.2,2.2,22.96
Tyler Boyd,WR,CIN,@SEA,-110,44.00,9.50,17.25,5800,14.5,2.5,21.89
Russell Wilson,QB,SEA,CIN,-110,44.00,-9.50,26.75,6300,20.6,3.3,20.17
Michael Gallup,WR,DAL,NYG,-105,45.50,-7.50,26.50,4300,12.1,2.8,19.66
Tevin Coleman,RB,SF,@TB,-110,51.00,1.00,25.00,5000,13.7,2.8,19.31
Joe Mixon,RB,CIN,@SEA,-110,44.00,9.50,17.25,6700,16.3,2.4,19.30
Matt Breida,RB,SF,@TB,-110,51.00,1.00,25.00,4000,12.1,3.0,19.11
Keenan Allen,WR,LAC,IND,-110,44.50,-6.50,25.50,7300,17.0,2.3,18.42
Rashaad Penny,RB,SEA,CIN,-110,44.00,-9.50,26.75,4900,10.7,2.2,17.86
Chris Godwin,WR,TB,SF,-110,51.00,-1.00,26.00,6200,14.5,2.3,16.94
Sterling Shepard,WR,NYG,@DAL,-115,45.50,7.50,19.00,5000,12.9,2.6,15.01
Austin Ekeler,RB,LAC,IND,-110,44.50,-6.50,25.50,5500,16.2,2.9,14.97
Jimmy Garoppolo,QB,SF,@TB,-110,51.00,1.00,25.00,5800,19.6,3.4,14.50
John Ross,WR,CIN,@SEA,-110,44.00,9.50,17.25,3900,10.2,2.6,14.38
Ezekiel Elliott,RB,DAL,NYG,-105,45.50,-7.50,26.50,9200,15.0,1.6,14.01
George Kittle,TE,SF,@TB,-110,51.00,1.00,25.00,6600,16.0,2.4,13.44
Dante Pettis,WR,SF,@TB,-110,51.00,1.00,25.00,5400,11.3,2.1,13.17
Mike Williams,WR,LAC,IND,-110,44.50,-6.50,25.50,5300,13.4,2.5,13.02
Deebo Samuel,WR,SF,@TB,-110,51.00,1.00,25.00,4000,10.0,2.5,12.97
Marquise Goodwin,WR,SF,@TB,-110,51.00,1.00,25.00,4000,9.9,2.5,12.85
Peyton Barber,RB,TB,SF,-110,51.00,-1.00,26.00,4000,11.2,2.8,11.21
Will Dissly,TE,SEA,CIN,-110,44.00,-9.50,26.75,2900,8.6,3.0,10.46
Hunter Henry,TE,LAC,IND,-110,44.50,-6.50,25.50,3900,12.8,3.3,9.89
T.Y. Hilton,WR,IND,@LAC,-110,44.50,6.50,19.00,6600,12.8,1.9,9.69
O.J. Howard,TE,TB,SF,-110,51.00,-1.00,26.00,5000,12.9,2.6,9.50
Philip Rivers,QB,LAC,IND,-110,44.50,-6.50,25.50,5900,19.2,3.3,9.36
Evan Engram,TE,NYG,@DAL,-115,45.50,7.50,19.00,4800,12.7,2.7,9.36
Kendrick Bourne,WR,SF,@TB,-110,51.00,1.00,25.00,3000,7.4,2.5,9.18
DK Metcalf,WR,SEA,CIN,-110,44.00,-9.50,26.75,4000,6.7,1.7,8.57
Richie James,WR,SF,@TB,-110,51.00,1.00,25.00,3000,6.8,2.3,7.52
Devin Funchess,WR,IND,@LAC,-110,44.50,6.50,19.00,4000,9.6,2.4,7.46
Randall Cobb,WR,DAL,NYG,-105,45.50,-7.50,26.50,4200,7.6,1.8,7.16
Kenny Golladay,WR,DET,@ARI,-115,46.50,-2.50,24.50,6300,15.1,2.4,7.06
Nyheim Hines,RB,IND,@LAC,-110,44.50,6.50,19.00,3900,10.5,2.7,6.94
Justin Jackson,RB,LAC,IND,-110,44.50,-6.50,25.50,4000,10.3,2.6,6.80
Kerryon Johnson,RB,DET,@ARI,-115,46.50,-2.50,24.50,5800,16.5,2.8,6.59
Tyler Eifert,TE,CIN,@SEA,-110,44.00,9.50,17.25,3100,7.7,2.5,6.52
Damion Willis,WR,CIN,@SEA,-110,44.00,9.50,17.25,3000,6.3,2.1,6.40
Breshad Perriman,WR,TB,SF,-110,51.00,-1.00,26.00,3300,7.2,2.2,5.93
Marlon Mack,RB,IND,@LAC,-110,44.50,6.50,19.00,5600,12.0,2.2,5.89
Ronald Jones,RB,TB,SF,-110,51.00,-1.00,26.00,3900,8.7,2.2,5.87
