PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Saquon Barkley,RB,NYG,@DAL,-115,45.50,7.50,19.00,9000,23.9,2.7,52.84
Amari Cooper,WR,DAL,NYG,-105,45.50,-7.50,26.50,7000,17.0,2.4,46.59
Mike Evans,WR,TB,SF,-110,51.00,-1.00,26.00,7900,19.0,2.4,45.72
Dak Prescott,QB,DAL,NYG,-105,45.50,-7.50,26.50,5900,20.5,3.5,40.39
Tevin Coleman,RB,SF,@TB,-110,51.00,1.00,25.00,5000,13.7,2.8,38.59
Matt Breida,RB,SF,@TB,-110,51.00,1.00,25.00,4000,12.1,3.0,38.22
Jameis Winston,QB,TB,SF,-110,51.00,-1.00,26.00,6600,24.6,3.7,34.61
Michael Gallup,WR,DAL,NYG,-105,45.50,-7.50,26.50,4300,12.1,2.8,33.81
Ezekiel Elliott,RB,DAL,NYG,-105,45.50,-7.50,26.50,9200,15.0,1.6,28.14
Chris Godwin,WR,TB,SF,-110,51.00,-1.00,26.00,6200,14.5,2.3,27.94
Sterling Shepard,WR,NYG,@DAL,-115,45.50,7.50,19.00,5000,12.9,2.6,25.15
George Kittle,TE,SF,@TB,-110,51.00,1.00,25.00,6600,16.0,2.4,22.66
Dante Pettis,WR,SF,@TB,-110,51.00,1.00,25.00,5400,11.3,2.1,22.56
Deebo Samuel,WR,SF,@TB,-110,51.00,1.00,25.00,4000,10.0,2.5,22.45
Marquise Goodwin,WR,SF,@TB,-110,51.00,1.00,25.00,4000,9.9,2.5,22.25
Jimmy Garoppolo,QB,SF,@TB,-110,51.00,1.00,25.00,5800,19.6,3.4,22.05
Peyton Barber,RB,TB,SF,-110,51.00,-1.00,26.00,4000,11.2,2.8,21.40
O.J. Howard,TE,TB,SF,-110,51.00,-1.00,26.00,5000,12.9,2.6,16.51
Evan Engram,TE,NYG,@DAL,-115,45.50,7.50,19.00,4800,12.7,2.7,16.44
Kendrick Bourne,WR,SF,@TB,-110,51.00,1.00,25.00,3000,7.4,2.5,16.01
Richie James,WR,SF,@TB,-110,51.00,1.00,25.00,3000,6.8,2.3,13.10
Randall Cobb,WR,DAL,NYG,-105,45.50,-7.50,26.50,4200,7.6,1.8,12.27
Ronald Jones,RB,TB,SF,-110,51.00,-1.00,26.00,3900,8.7,2.2,11.46
Kerryon Johnson,RB,DET,@ARI,-115,46.50,-2.50,24.50,5800,16.5,2.8,10.85
Jason Witten,TE,DAL,NYG,-105,45.50,-7.50,26.50,3000,6.8,2.3,10.66
Kenny Golladay,WR,DET,@ARI,-115,46.50,-2.50,24.50,6300,15.1,2.4,10.51
Blake Jarwin,TE,DAL,NYG,-105,45.50,-7.50,26.50,2700,6.3,2.3,10.28
Tony Pollard,RB,DAL,NYG,-105,45.50,-7.50,26.50,5000,7.3,1.5,10.13
Dare Ogunbowale,RB,TB,SF,-110,51.00,-1.00,26.00,3000,7.0,2.3,9.89
Breshad Perriman,WR,TB,SF,-110,51.00,-1.00,26.00,3300,7.2,2.2,9.86
David Johnson,RB,ARI,DET,-105,46.50,2.50,22.00,7700,19.7,2.6,9.64
Cameron Brate,TE,TB,SF,-110,51.00,-1.00,26.00,2800,6.6,2.4,8.68
Cody Latimer,WR,NYG,@DAL,-115,45.50,7.50,19.00,3300,6.4,2.0,7.67
Marvin Jones,WR,DET,@ARI,-115,46.50,-2.50,24.50,4800,12.2,2.5,7.14
Christian Kirk,WR,ARI,DET,-105,46.50,2.50,22.00,4700,12.2,2.6,6.07
Kyle Juszczyk,RB,SF,@TB,-110,51.00,1.00,25.00,3000,3.6,1.2,4.58
Ross Dwelley,TE,SF,@TB,-110,51.00,1.00,25.00,2500,3.4,1.4,4.52
Larry Fitzgerald,WR,ARI,DET,-105,46.50,2.50,22.00,4900,11.4,2.3,4.46
T.J. Hockenson,TE,DET,@ARI,-115,46.50,-2.50,24.50,3100,7.3,2.3,4.06
Jesse James,TE,DET,@ARI,-115,46.50,-2.50,24.50,2500,6.2,2.5,3.71
Rhett Ellison,TE,NYG,@DAL,-115,45.50,7.50,19.00,2500,3.0,1.2,3.00
Kyler Murray,QB,ARI,DET,-105,46.50,2.50,22.00,5600,18.5,3.3,2.54
Danny Amendola,WR,DET,@ARI,-115,46.50,-2.50,24.50,3600,7.8,2.2,2.49
Dalton Schultz,TE,DAL,NYG,-105,45.50,-7.50,26.50,2500,1.7,0.7,2.31
Raheem Mostert,RB,SF,@TB,-110,51.00,1.00,25.00,3700,2.2,0.6,2.26
Tavon Austin,WR,DAL,NYG,-105,45.50,-7.50,26.50,3000,2.4,0.8,2.23
Levine Toilolo,TE,SF,@TB,-110,51.00,1.00,25.00,2500,1.6,0.6,2.05
C.J. Anderson,RB,DET,@ARI,-115,46.50,-2.50,24.50,3900,8.0,2.1,1.85
Alfred Morris,RB,DAL,NYG,-105,45.50,-7.50,26.50,3500,1.3,0.4,1.57
Kaden Smith,TE,SF,@TB,-110,51.00,1.00,25.00,2500,0.9,0.4,1.47
Wayne Gallman,RB,NYG,@DAL,-115,45.50,7.50,19.00,3000,2.7,0.9,1.43
Charles Clay,TE,ARI,DET,-105,46.50,2.50,22.00,2700,4.7,1.7,1.36
Devin Smith,WR,DAL,NYG,-105,45.50,-7.50,26.50,3000,1.5,0.5,1.30
Tanner Hudson,TE,TB,SF,-110,51.00,-1.00,26.00,2500,1.2,0.5,1.11
Justin Watson,WR,TB,SF,-110,51.00,-1.00,26.00,3200,2.2,0.7,1.04
Darius Slayton,WR,NYG,@DAL,-115,45.50,7.50,19.00,3200,2.0,0.6,1.00
Jordan Chunn,RB,DAL,NYG,-105,45.50,-7.50,26.50,3000,0.4,0.1,0.96
Trent Sherfield,WR,ARI,DET,-105,46.50,2.50,22.00,3000,5.5,1.8,0.72
Bobo Wilson,WR,TB,SF,-110,51.00,-1.00,26.00,3000,1.5,0.5,0.66
T.J. Logan,RB,TB,SF,-110,51.00,-1.00,26.00,3000,1.3,0.4,0.65
Ricky Seals-Jones,TE,CLE,TEN,-110,45.50,-5.50,25.50,2700,0.9,0.3,0.62
Maxx Williams,TE,ARI,DET,-105,46.50,2.50,22.00,2500,3.2,1.3,0.57
KeeSean Johnson,WR,ARI,DET,-105,46.50,2.50,22.00,3000,5.1,1.7,0.55
Bennie Fowler,WR,NYG,@DAL,-115,45.50,7.50,19.00,3000,1.1,0.4,0.52
Russell Shepard,WR,NYG,@DAL,-115,45.50,7.50,19.00,3000,0.7,0.2,0.38
Scott Miller,WR,TB,SF,-110,51.00,-1.00,26.00,3000,0.7,0.2,0.35
Paul Perkins,RB,NYG,@DAL,-115,45.50,7.50,19.00,3300,0.4,0.1,0.35
Matthew Stafford,QB,DET,@ARI,-115,46.50,-2.50,24.50,5400,16.5,3.1,0.29
Chase Edmonds,RB,ARI,DET,-105,46.50,2.50,22.00,3100,4.2,1.4,0.17
Andy Isabella,WR,ARI,DET,-105,46.50,2.50,22.00,3400,3.7,1.1,0.14
Eli Manning,QB,NYG,@DAL,-115,45.50,7.50,19.00,5000,13.3,2.7,0.12
Chris Lacy,WR,DET,@ARI,-115,46.50,-2.50,24.50,3000,1.8,0.6,0.03
Michael Crabtree,WR,ARI,DET,-105,46.50,2.50,22.00,3400,2.2,0.6,0.02
Travis Fulgham,WR,DET,@ARI,-115,46.50,-2.50,24.50,3000,1.4,0.5,0.01
Ty Johnson,RB,DET,@ARI,-115,46.50,-2.50,24.50,3000,0.8,0.3,0.01
D.J. Foster,RB,ARI,DET,-105,46.50,2.50,22.00,3000,1.0,0.3,0.00
