PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Dalvin Cook,RB,MIN,ATL,-110,47.50,-4.00,25.75,6000,18.7,3.1,28.75
Leonard Fournette,RB,JAX,KC,100,51.50,3.00,24.25,6100,17.1,2.8,22.48
Christian McCaffrey,RB,CAR,LAR,-110,50.00,1.50,24.25,8800,21.7,2.5,21.90
Adam Thielen,WR,MIN,ATL,-110,47.50,-4.00,25.75,6800,17.8,2.6,21.77
Nick Chubb,RB,CLE,TEN,-110,45.50,-5.50,25.50,6400,18.7,2.9,18.57
Stefon Diggs,WR,MIN,ATL,-110,47.50,-4.00,25.75,6700,16.5,2.5,18.27
Patrick Mahomes,QB,KC,@JAX,-120,51.50,-3.00,27.25,7200,27.5,3.8,18.15
Odell Beckham,WR,CLE,TEN,-110,45.50,-5.50,25.50,8100,18.7,2.3,17.85
Julio Jones,WR,ATL,@MIN,-110,47.50,4.00,21.75,8000,19.2,2.4,17.68
Carson Wentz,QB,PHI,WAS,-110,45.00,-10.00,27.50,5700,20.5,3.6,15.60
Derrick Henry,RB,TEN,@CLE,-110,45.50,5.50,20.00,5900,13.5,2.3,13.76
Devonta Freeman,RB,ATL,@MIN,-110,47.50,4.00,21.75,5300,15.9,3.0,13.53
Baker Mayfield,QB,CLE,TEN,-110,45.50,-5.50,25.50,6400,21.7,3.4,13.43
Tyreek Hill,WR,KC,@JAX,-120,51.50,-3.00,27.25,7600,18.1,2.4,13.23
Todd Gurley,RB,LAR,@CAR,-110,50.00,-1.50,25.75,7900,17.7,2.2,12.83
Brandin Cooks,WR,LAR,@CAR,-110,50.00,-1.50,25.75,6500,15.6,2.4,12.03
Robert Woods,WR,LAR,@CAR,-110,50.00,-1.50,25.75,6400,15.4,2.4,11.82
Dede Westbrook,WR,JAX,KC,100,51.50,3.00,24.25,4800,12.7,2.7,11.52
Alshon Jeffery,WR,PHI,WAS,-110,45.00,-10.00,27.50,5900,13.1,2.2,11.34
Kirk Cousins,QB,MIN,ATL,-110,47.50,-4.00,25.75,5500,19.8,3.6,11.33
Corey Davis,WR,TEN,@CLE,-110,45.50,5.50,20.00,4900,11.9,2.4,10.79
Zach Ertz,TE,PHI,WAS,-110,45.00,-10.00,27.50,6100,15.8,2.6,10.38
Derrius Guice,RB,WAS,@PHI,-110,45.00,10.00,17.50,4400,10.8,2.5,10.35
Curtis Samuel,WR,CAR,LAR,-110,50.00,1.50,24.25,4200,12.3,2.9,10.30
D.J. Moore,WR,CAR,LAR,-110,50.00,1.50,24.25,5500,13.7,2.5,10.24
Dion Lewis,RB,TEN,@CLE,-110,45.50,5.50,20.00,4700,10.5,2.2,9.99
Damien Williams,RB,KC,@JAX,-120,51.50,-3.00,27.25,6300,16.0,2.5,9.60
DeSean Jackson,WR,PHI,WAS,-110,45.00,-10.00,27.50,4500,10.9,2.4,9.43
Nelson Agholor,WR,PHI,WAS,-110,45.00,-10.00,27.50,3900,10.2,2.6,9.34
Rashard Higgins,WR,CLE,TEN,-110,45.50,-5.50,25.50,3200,10.1,3.2,9.14
Jarvis Landry,WR,CLE,TEN,-110,45.50,-5.50,25.50,5600,13.1,2.3,9.08
Jared Goff,QB,LAR,@CAR,-110,50.00,-1.50,25.75,6200,23.6,3.8,9.04
Adam Humphries,WR,TEN,@CLE,-110,45.50,5.50,20.00,4000,9.9,2.5,8.82
Le'Veon Bell,RB,NYJ,BUF,-115,40.50,-2.50,21.50,7100,18.9,2.7,8.80
Travis Kelce,TE,KC,@JAX,-120,51.50,-3.00,27.25,7100,17.0,2.4,8.50
Kenny Stills,WR,HOU,@NO,-115,52.50,7.00,22.75,4000,9.2,2.3,8.13
Paul Richardson,WR,WAS,@PHI,-110,45.00,10.00,17.50,3900,9.5,2.4,8.12
Cam Newton,QB,CAR,LAR,-110,50.00,1.50,24.25,6500,20.6,3.2,8.00
Calvin Ridley,WR,ATL,@MIN,-110,47.50,4.00,21.75,5100,12.5,2.5,7.82
Sammy Watkins,WR,KC,@JAX,-120,51.50,-3.00,27.25,5000,12.9,2.6,7.75
Jordan Howard,RB,PHI,WAS,-110,45.00,-10.00,27.50,4200,9.5,2.3,7.74
Kyle Rudolph,TE,MIN,ATL,-110,47.50,-4.00,25.75,3300,10.2,3.1,7.72
Delanie Walker,TE,TEN,@CLE,-110,45.50,5.50,20.00,3500,10.3,3.0,7.71
Matt Ryan,QB,ATL,@MIN,-110,47.50,4.00,21.75,6100,19.2,3.2,7.55
Chris Thompson,RB,WAS,@PHI,-110,45.00,10.00,17.50,3500,8.3,2.4,7.30
Mark Ingram,RB,BAL,@MIA,-110,38.50,-6.50,22.50,5100,14.1,2.8,7.01
David Njoku,TE,CLE,TEN,-110,45.50,-5.50,25.50,3700,11.3,3.1,6.92
Josh Doctson,WR,MIN,ATL,-110,47.50,-4.00,25.75,3900,8.8,2.3,6.63
Miles Sanders,RB,PHI,WAS,-110,45.00,-10.00,27.50,3900,8.5,2.2,6.51
Austin Hooper,TE,ATL,@MIN,-110,47.50,4.00,21.75,3200,10.2,3.2,6.44
Carlos Hyde,RB,HOU,@NO,-115,52.50,7.00,22.75,4100,8.1,2.0,6.32
Dallas Goedert,TE,PHI,WAS,-110,45.00,-10.00,27.50,2900,8.1,2.8,6.07
Mohamed Sanu,WR,ATL,@MIN,-110,47.50,4.00,21.75,4600,10.7,2.3,5.89
Greg Olsen,TE,CAR,LAR,-110,50.00,1.50,24.25,3200,9.4,2.9,5.85
Devin Singletary,RB,BUF,@NYJ,-105,40.50,2.50,19.00,3600,9.2,2.6,5.84
Jordan Reed,TE,WAS,@PHI,-110,45.00,10.00,17.50,3600,8.7,2.4,5.80
Cooper Kupp,WR,LAR,@CAR,-110,50.00,-1.50,25.75,5700,11.1,2.0,5.75
John Brown,WR,BUF,@NYJ,-105,40.50,2.50,19.00,4300,10.5,2.4,5.71
Trey Quinn,WR,WAS,@PHI,-110,45.00,10.00,17.50,3400,7.6,2.2,5.55
Robby Anderson,WR,NYJ,BUF,-115,40.50,-2.50,21.50,5200,13.3,2.6,5.49
Gerald Everett,TE,LAR,@CAR,-110,50.00,-1.50,25.75,2900,8.1,2.8,4.81
Jamison Crowder,WR,NYJ,BUF,-115,40.50,-2.50,21.50,4100,11.5,2.8,4.80
Vernon Davis,TE,WAS,@PHI,-110,45.00,10.00,17.50,2700,6.4,2.4,4.57
Chris Conley,WR,JAX,KC,100,51.50,3.00,24.25,3100,6.6,2.1,4.32
A.J. Brown,WR,TEN,@CLE,-110,45.50,5.50,20.00,3500,6.5,1.9,4.02
Nick Foles,QB,JAX,KC,100,51.50,3.00,24.25,5300,17.1,3.2,4.01
Mark Andrews,TE,BAL,@MIA,-110,38.50,-6.50,22.50,3000,8.9,3.0,3.80
Robert Foster,WR,BUF,@NYJ,-105,40.50,2.50,19.00,4100,8.8,2.1,3.80
D.J. Chark,WR,JAX,KC,100,51.50,3.00,24.25,3300,6.4,2.0,3.77
Marcus Mariota,QB,TEN,@CLE,-110,45.50,5.50,20.00,5200,16.4,3.2,3.70
Keelan Cole,WR,JAX,KC,100,51.50,3.00,24.25,3400,6.4,1.9,3.65
Darrell Henderson,RB,LAR,@CAR,-110,50.00,-1.50,25.75,4800,8.8,1.8,3.60
Geoff Swaim,TE,JAX,KC,100,51.50,3.00,24.25,2900,5.6,1.9,3.47
Zay Jones,WR,BUF,@NYJ,-105,40.50,2.50,19.00,3700,8.0,2.2,3.24
Ito Smith,RB,ATL,@MIN,-110,47.50,4.00,21.75,4000,8.2,2.1,3.21
Quincy Enunwa,WR,NYJ,BUF,-115,40.50,-2.50,21.50,3800,9.5,2.5,3.03
Lamar Jackson,QB,BAL,@MIA,-110,38.50,-6.50,22.50,6000,20.4,3.4,2.90
Terry McLaurin,WR,WAS,@PHI,-110,45.00,10.00,17.50,3300,5.5,1.7,2.88
Jarius Wright,WR,CAR,LAR,-110,50.00,1.50,24.25,3200,6.5,2.0,2.86
Josh Allen,QB,BUF,@NYJ,-105,40.50,2.50,19.00,5600,17.9,3.2,2.82
Sam Darnold,QB,NYJ,BUF,-115,40.50,-2.50,21.50,5100,17.1,3.3,2.77
Josh Reynolds,WR,LAR,@CAR,-110,50.00,-1.50,25.75,3300,6.6,2.0,2.64
