PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Alvin Kamara,RB,NO,HOU,-105,52.50,-7.00,29.75,8500,23.7,2.8,91.26
DeAndre Hopkins,WR,HOU,@NO,-115,52.50,7.00,22.75,8000,19.3,2.4,88.88
Michael Thomas,WR,NO,HOU,-105,52.50,-7.00,29.75,7800,19.7,2.5,86.64
Deshaun Watson,QB,HOU,@NO,-115,52.50,7.00,22.75,6800,22.4,3.3,51.33
Duke Johnson,RB,HOU,@NO,-115,52.50,7.00,22.75,6000,13.9,2.3,45.69
Drew Brees,QB,NO,HOU,-105,52.50,-7.00,29.75,6200,20.7,3.3,41.59
Jared Cook,TE,NO,HOU,-105,52.50,-7.00,29.75,4900,11.7,2.4,41.43
Will Fuller,WR,HOU,@NO,-115,52.50,7.00,22.75,5300,11.3,2.1,33.96
Latavius Murray,RB,NO,HOU,-105,52.50,-7.00,29.75,4100,10.5,2.6,29.63
Kenny Stills,WR,HOU,@NO,-115,52.50,7.00,22.75,3900,9.2,2.4,28.20
Tre'Quan Smith,WR,NO,HOU,-105,52.50,-7.00,29.75,3800,9.3,2.5,26.78
Carlos Hyde,RB,HOU,@NO,-115,52.50,7.00,22.75,3900,8.1,2.1,21.09
Ted Ginn,WR,NO,HOU,-105,52.50,-7.00,29.75,4100,8.0,2.0,17.67
Jordan Akins,TE,HOU,@NO,-115,52.50,7.00,22.75,2800,5.2,1.9,16.19
Darren Waller,TE,OAK,DEN,-110,43.00,2.50,20.25,3400,9.3,2.7,15.55
Jalen Richard,RB,OAK,DEN,-110,43.00,2.50,20.25,3600,12.5,3.5,12.73
Tyrell Williams,WR,OAK,DEN,-110,43.00,2.50,20.25,4400,12.5,2.8,11.71
Josh Hill,TE,NO,HOU,-105,52.50,-7.00,29.75,2900,3.8,1.3,9.70
Noah Fant,TE,DEN,@OAK,-110,43.00,-2.50,22.75,3000,7.0,2.3,9.67
Phillip Lindsay,RB,DEN,@OAK,-110,43.00,-2.50,22.75,5200,13.5,2.6,9.53
Emmanuel Sanders,WR,DEN,@OAK,-110,43.00,-2.50,22.75,5500,12.4,2.3,9.35
Hunter Renfrow,WR,OAK,DEN,-110,43.00,2.50,20.25,3600,10.5,2.9,9.05
Ryan Grant,WR,OAK,DEN,-110,43.00,2.50,20.25,3000,9.2,3.1,8.20
Josh Jacobs,RB,OAK,DEN,-110,43.00,2.50,20.25,5000,13.3,2.7,7.99
Courtland Sutton,WR,DEN,@OAK,-110,43.00,-2.50,22.75,4500,10.8,2.4,7.53
Jerell Adams,TE,HOU,@NO,-115,52.50,7.00,22.75,2500,2.6,1.0,7.11
Royce Freeman,RB,DEN,@OAK,-110,43.00,-2.50,22.75,4300,10.2,2.4,4.90
Darren Fells,TE,HOU,@NO,-115,52.50,7.00,22.75,2500,1.5,0.6,4.44
Keith Kirkwood,WR,NO,HOU,-105,52.50,-7.00,29.75,3200,3.4,1.1,4.24
DaeSean Hamilton,WR,DEN,@OAK,-110,43.00,-2.50,22.75,4200,8.4,2.0,3.72
Derek Carr,QB,OAK,DEN,-110,43.00,2.50,20.25,5400,15.9,3.0,3.63
Joe Flacco,QB,DEN,@OAK,-110,43.00,-2.50,22.75,5100,15.5,3.1,3.34
DeAndre Carter,WR,HOU,@NO,-115,52.50,7.00,22.75,3300,2.2,0.6,2.85
Jeff Heuerman,TE,DEN,@OAK,-110,43.00,-2.50,22.75,2700,3.7,1.4,2.60
Logan Paulsen,TE,HOU,@NO,-115,52.50,7.00,22.75,2500,0.5,0.2,2.59
Austin Carr,WR,NO,HOU,-105,52.50,-7.00,29.75,3100,1.8,0.6,1.90
Tim Patrick,WR,DEN,@OAK,-110,43.00,-2.50,22.75,3200,5.8,1.8,1.64
Taiwan Jones,RB,HOU,@NO,-115,52.50,7.00,22.75,3000,0.8,0.3,1.37
J.J. Nelson,WR,OAK,DEN,-110,43.00,2.50,20.25,3200,5.8,1.8,1.31
Deonte Harris,WR,NO,HOU,-105,52.50,-7.00,29.75,3000,1.2,0.4,1.29
Dwayne Washington,RB,NO,HOU,-105,52.50,-7.00,29.75,3200,1.3,0.4,1.26
Foster Moreau,TE,OAK,DEN,-110,43.00,2.50,20.25,2600,1.7,0.6,0.45
Troy Fumagalli,TE,DEN,@OAK,-110,43.00,-2.50,22.75,2500,1.1,0.4,0.26
DeAndre Washington,RB,OAK,DEN,-110,43.00,2.50,20.25,3300,3.6,1.1,0.15
Devontae Booker,RB,DEN,@OAK,-110,43.00,-2.50,22.75,3000,2.7,0.9,0.11
Taysom Hill,QB,NO,HOU,-105,52.50,-7.00,29.75,4300,2.2,0.5,0.10
Dwayne Harris,WR,OAK,DEN,-110,43.00,2.50,20.25,3000,2.3,0.8,0.07
Juwann Winfree,WR,DEN,@OAK,-110,43.00,-2.50,22.75,3000,0.6,0.2,0.00
