PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Alvin Kamara,RB,NO,HOU,-105,52.50,-7.00,29.75,8500,23.7,2.8,79.03
Michael Thomas,WR,NO,HOU,-105,52.50,-7.00,29.75,7800,19.7,2.5,55.91
DeAndre Hopkins,WR,HOU,@NO,-115,52.50,7.00,22.75,8000,19.3,2.4,55.88
JuJu Smith-Schuster,WR,PIT,@NE,-110,49.00,5.50,21.75,7300,19.2,2.6,41.43
Deshaun Watson,QB,HOU,@NO,-115,52.50,7.00,22.75,6800,22.4,3.3,34.55
Duke Johnson,RB,HOU,@NO,-115,52.50,7.00,22.75,6000,13.9,2.3,31.33
James Conner,RB,PIT,@NE,-110,49.00,5.50,21.75,7300,17.4,2.4,30.65
Drew Brees,QB,NO,HOU,-105,52.50,-7.00,29.75,6200,20.7,3.3,27.99
Jared Cook,TE,NO,HOU,-105,52.50,-7.00,29.75,4900,11.7,2.4,25.95
Latavius Murray,RB,NO,HOU,-105,52.50,-7.00,29.75,4100,10.5,2.6,21.48
Will Fuller,WR,HOU,@NO,-115,52.50,7.00,22.75,5300,11.3,2.1,21.35
Vance McDonald,TE,PIT,@NE,-110,49.00,5.50,21.75,4200,10.9,2.6,21.00
Julian Edelman,WR,NE,PIT,-110,49.00,-5.50,27.25,6500,16.0,2.5,20.82
James White,RB,NE,PIT,-110,49.00,-5.50,27.25,4700,14.4,3.1,18.97
Kenny Stills,WR,HOU,@NO,-115,52.50,7.00,22.75,3900,9.2,2.4,17.73
Tre'Quan Smith,WR,NO,HOU,-105,52.50,-7.00,29.75,3800,9.3,2.5,17.44
Ben Roethlisberger,QB,PIT,@NE,-110,49.00,5.50,21.75,6000,19.4,3.2,16.47
Donte Moncrief,WR,PIT,@NE,-110,49.00,5.50,21.75,4300,10.9,2.5,16.42
Tom Brady,QB,NE,PIT,-110,49.00,-5.50,27.25,5900,19.1,3.2,16.21
Carlos Hyde,RB,HOU,@NO,-115,52.50,7.00,22.75,3900,8.1,2.1,14.46
Josh Gordon,WR,NE,PIT,-110,49.00,-5.50,27.25,5900,13.0,2.2,13.83
Matt LaCosse,TE,NE,PIT,-110,49.00,-5.50,27.25,2800,7.7,2.8,12.22
Ted Ginn,WR,NO,HOU,-105,52.50,-7.00,29.75,4100,8.0,2.0,11.55
Jalen Richard,RB,OAK,DEN,-110,43.00,2.50,20.25,3600,12.5,3.5,10.48
Jordan Akins,TE,HOU,@NO,-115,52.50,7.00,22.75,2800,5.2,1.9,10.29
Darren Waller,TE,OAK,DEN,-110,43.00,2.50,20.25,3400,9.3,2.7,10.20
Tyrell Williams,WR,OAK,DEN,-110,43.00,2.50,20.25,4400,12.5,2.8,8.28
Phillip Lindsay,RB,DEN,@OAK,-110,43.00,-2.50,22.75,5200,13.5,2.6,8.26
Phillip Dorsett,WR,NE,PIT,-110,49.00,-5.50,27.25,3100,7.8,2.5,7.25
Sony Michel,RB,NE,PIT,-110,49.00,-5.50,27.25,5900,11.4,1.9,7.23
Demaryius Thomas,WR,NE,PIT,-110,49.00,-5.50,27.25,3500,8.2,2.3,7.13
Emmanuel Sanders,WR,DEN,@OAK,-110,43.00,-2.50,22.75,5500,12.4,2.3,6.82
Josh Jacobs,RB,OAK,DEN,-110,43.00,2.50,20.25,5000,13.3,2.7,6.71
Jaylen Samuels,RB,PIT,@NE,-110,49.00,5.50,21.75,3800,7.3,1.9,6.71
Noah Fant,TE,DEN,@OAK,-110,43.00,-2.50,22.75,3000,7.0,2.3,6.66
Josh Hill,TE,NO,HOU,-105,52.50,-7.00,29.75,2900,3.8,1.3,6.53
Hunter Renfrow,WR,OAK,DEN,-110,43.00,2.50,20.25,3600,10.5,2.9,6.45
Ryan Grant,WR,OAK,DEN,-110,43.00,2.50,20.25,3000,9.2,3.1,5.86
Courtland Sutton,WR,DEN,@OAK,-110,43.00,-2.50,22.75,4500,10.8,2.4,5.54
Ryan Switzer,WR,PIT,@NE,-110,49.00,5.50,21.75,3200,5.9,1.8,5.09
Jerell Adams,TE,HOU,@NO,-115,52.50,7.00,22.75,2500,2.6,1.0,4.76
James Washington,WR,PIT,@NE,-110,49.00,5.50,21.75,3900,6.1,1.6,4.70
