PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Alvin Kamara,RB,NO,HOU,-105,52.50,-7.00,29.75,8500,23.7,2.8,14.49
Michael Thomas,WR,NO,HOU,-105,52.50,-7.00,29.75,8000,19.7,2.5,11.49
DeAndre Hopkins,WR,HOU,@NO,-115,52.50,7.00,22.75,8200,19.3,2.4,11.09
Chris Carson,RB,SEA,CIN,-110,44.00,-9.50,26.75,5700,16.4,2.9,10.81
Dalvin Cook,RB,MIN,ATL,-110,47.50,-4.00,25.75,6000,18.7,3.1,10.53
JuJu Smith-Schuster,WR,PIT,@NE,-110,49.00,5.50,21.75,7500,19.2,2.6,9.67
Saquon Barkley,RB,NYG,@DAL,-115,45.50,7.50,19.00,9000,23.9,2.7,9.53
Adam Thielen,WR,MIN,ATL,-110,47.50,-4.00,25.75,6800,17.8,2.6,8.79
Leonard Fournette,RB,JAX,KC,100,51.50,3.00,24.25,6100,17.1,2.8,8.24
Mike Evans,WR,TB,SF,-110,51.00,-1.00,26.00,7900,19.0,2.4,8.19
Christian McCaffrey,RB,CAR,LAR,-110,50.00,1.50,24.25,8800,21.7,2.5,8.06
Deshaun Watson,QB,HOU,@NO,-115,52.50,7.00,22.75,6800,22.4,3.3,7.56
Stefon Diggs,WR,MIN,ATL,-110,47.50,-4.00,25.75,6700,16.5,2.5,7.39
Amari Cooper,WR,DAL,NYG,-105,45.50,-7.50,26.50,7000,17.0,2.4,7.35
Odell Beckham,WR,CLE,TEN,-110,45.50,-5.50,25.50,8100,18.7,2.3,7.25
Julio Jones,WR,ATL,@MIN,-110,47.50,4.00,21.75,8000,19.2,2.4,7.20
James Conner,RB,PIT,@NE,-110,49.00,5.50,21.75,7300,17.4,2.4,7.10
Nick Chubb,RB,CLE,TEN,-110,45.50,-5.50,25.50,6400,18.7,2.9,6.76
Duke Johnson,RB,HOU,@NO,-115,52.50,7.00,22.75,5100,13.9,2.7,6.58
Tevin Coleman,RB,SF,@TB,-110,51.00,1.00,25.00,5000,13.7,2.8,6.18
Drew Brees,QB,NO,HOU,-105,52.50,-7.00,29.75,6400,20.7,3.2,6.11
Joe Mixon,RB,CIN,@SEA,-110,44.00,9.50,17.25,6700,16.3,2.4,5.95
Matt Breida,RB,SF,@TB,-110,51.00,1.00,25.00,4000,12.1,3.0,5.92
Patrick Mahomes,QB,KC,@JAX,-120,51.50,-3.00,27.25,7200,27.5,3.8,5.91
Keenan Allen,WR,LAC,IND,-110,44.50,-6.50,25.50,7300,17.0,2.3,5.87
Tyler Lockett,WR,SEA,CIN,-110,44.00,-9.50,26.75,6000,13.2,2.2,5.66
Tyler Boyd,WR,CIN,@SEA,-110,44.00,9.50,17.25,5800,14.5,2.5,5.65
Davante Adams,WR,GB,@CHI,-105,46.50,3.00,21.75,7700,18.6,2.4,5.63
Austin Ekeler,RB,LAC,IND,-110,44.50,-6.50,25.50,5500,16.2,2.9,5.58
Julian Edelman,WR,NE,PIT,-110,49.00,-5.50,27.25,6900,16.0,2.3,5.58
Tyreek Hill,WR,KC,@JAX,-120,51.50,-3.00,27.25,7600,18.1,2.4,5.38
James White,RB,NE,PIT,-110,49.00,-5.50,27.25,4800,14.4,3.0,5.35
Carson Wentz,QB,PHI,WAS,-110,45.00,-10.00,27.50,5700,20.5,3.6,5.19
Derrick Henry,RB,TEN,@CLE,-110,45.50,5.50,20.00,5900,13.5,2.3,5.14
Michael Gallup,WR,DAL,NYG,-105,45.50,-7.50,26.50,4300,12.1,2.8,5.07
Jameis Winston,QB,TB,SF,-110,51.00,-1.00,26.00,6600,24.6,3.7,4.96
Rashaad Penny,RB,SEA,CIN,-110,44.00,-9.50,26.75,4900,10.7,2.2,4.96
Kerryon Johnson,RB,DET,@ARI,-115,46.50,-2.50,24.50,5800,16.5,2.8,4.95
Chris Godwin,WR,TB,SF,-110,51.00,-1.00,26.00,6200,14.5,2.3,4.95
Brandin Cooks,WR,LAR,@CAR,-110,50.00,-1.50,25.75,6500,15.6,2.4,4.91
Devonta Freeman,RB,ATL,@MIN,-110,47.50,4.00,21.75,5300,15.9,3.0,4.86
Robert Woods,WR,LAR,@CAR,-110,50.00,-1.50,25.75,6400,15.4,2.4,4.83
Baker Mayfield,QB,CLE,TEN,-110,45.50,-5.50,25.50,6400,21.7,3.4,4.79
Todd Gurley,RB,LAR,@CAR,-110,50.00,-1.50,25.75,7900,17.7,2.2,4.78
Ezekiel Elliott,RB,DAL,NYG,-105,45.50,-7.50,26.50,9200,15.0,1.6,4.75
Dak Prescott,QB,DAL,NYG,-105,45.50,-7.50,26.50,5900,20.5,3.5,4.68
Alshon Jeffery,WR,PHI,WAS,-110,45.00,-10.00,27.50,5900,13.1,2.2,4.67
Dede Westbrook,WR,JAX,KC,100,51.50,3.00,24.25,4800,12.7,2.7,4.65
David Johnson,RB,ARI,DET,-105,46.50,2.50,22.00,7700,19.7,2.6,4.58
Russell Wilson,QB,SEA,CIN,-110,44.00,-9.50,26.75,6300,20.6,3.3,4.57
Will Fuller,WR,HOU,@NO,-115,52.50,7.00,22.75,4900,11.3,2.3,4.54
Zach Ertz,TE,PHI,WAS,-110,45.00,-10.00,27.50,6100,15.8,2.6,4.40
George Kittle,TE,SF,@TB,-110,51.00,1.00,25.00,6600,16.0,2.4,4.37
Corey Davis,WR,TEN,@CLE,-110,45.50,5.50,20.00,4900,11.9,2.4,4.37
Latavius Murray,RB,NO,HOU,-105,52.50,-7.00,29.75,4100,10.5,2.6,4.27
Curtis Samuel,WR,CAR,LAR,-110,50.00,1.50,24.25,4200,12.3,2.9,4.19
Josh Gordon,WR,NE,PIT,-110,49.00,-5.50,27.25,5500,13.0,2.4,4.17
Kenny Golladay,WR,DET,@ARI,-115,46.50,-2.50,24.50,6300,15.1,2.4,4.16
D.J. Moore,WR,CAR,LAR,-110,50.00,1.50,24.25,5500,13.7,2.5,4.16
Mike Williams,WR,LAC,IND,-110,44.50,-6.50,25.50,5300,13.4,2.5,4.12
Sterling Shepard,WR,NYG,@DAL,-115,45.50,7.50,19.00,5000,12.9,2.6,4.06
Kirk Cousins,QB,MIN,ATL,-110,47.50,-4.00,25.75,5500,19.8,3.6,4.02
Derrius Guice,RB,WAS,@PHI,-110,45.00,10.00,17.50,4400,10.8,2.5,4.00
Donte Moncrief,WR,PIT,@NE,-110,49.00,5.50,21.75,4400,10.9,2.5,3.99
Tarik Cohen,RB,CHI,GB,-115,46.50,-3.00,24.75,4800,13.3,2.8,3.96
Ben Roethlisberger,QB,PIT,@NE,-110,49.00,5.50,21.75,6300,19.4,3.1,3.93
Tom Brady,QB,NE,PIT,-110,49.00,-5.50,27.25,6000,19.1,3.2,3.93
DeSean Jackson,WR,PHI,WAS,-110,45.00,-10.00,27.50,4500,10.9,2.4,3.89
Nelson Agholor,WR,PHI,WAS,-110,45.00,-10.00,27.50,3900,10.2,2.6,3.86
Jalen Richard,RB,OAK,DEN,-110,43.00,2.50,20.25,3500,12.5,3.6,3.85
Jimmy Garoppolo,QB,SF,@TB,-110,51.00,1.00,25.00,5800,19.6,3.4,3.80
Rashard Higgins,WR,CLE,TEN,-110,45.50,-5.50,25.50,3200,10.1,3.2,3.76
Mitchell Trubisky,QB,CHI,GB,-115,46.50,-3.00,24.75,5700,20.1,3.5,3.75
Peyton Barber,RB,TB,SF,-110,51.00,-1.00,26.00,4000,11.2,2.8,3.75
Jarvis Landry,WR,CLE,TEN,-110,45.50,-5.50,25.50,5600,13.1,2.3,3.73
Dion Lewis,RB,TEN,@CLE,-110,45.50,5.50,20.00,4700,10.5,2.2,3.73
Dante Pettis,WR,SF,@TB,-110,51.00,1.00,25.00,5400,11.3,2.1,3.71
Allen Robinson,WR,CHI,GB,-115,46.50,-3.00,24.75,5400,12.7,2.3,3.68
Travis Kelce,TE,KC,@JAX,-120,51.50,-3.00,27.25,7100,17.0,2.4,3.61
John Ross,WR,CIN,@SEA,-110,44.00,9.50,17.25,3900,10.2,2.6,3.60
