"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"37435-64401","RB","Saquon","Saquon Barkley","Barkley","21.268749237060547","16","9200","NYG@DAL","NYG","DAL","","","","",""
"37435-38791","RB","Ezekiel","Ezekiel Elliott","Elliott","19.373333740234376","15","9100","NYG@DAL","DAL","NYG","","","","",""
"37435-55050","RB","Christian","Christian McCaffrey","McCaffrey","20.75","16","8900","LAR@CAR","CAR","LAR","","","","",""
"37435-57439","QB","Patrick","Patrick Mahomes","Mahomes","26.8174991607666","16","8700","KC@JAC","KC","JAC","","","","",""
"37435-14190","WR","Julio","Julio Jones","Jones","16.837499618530273","16","8500","ATL@MIN","ATL","MIN","","","","",""
"37435-21939","QB","Andrew","Andrew Luck","Luck","21.4012508392334","16","8300","IND@LAC","IND","LAC","O","Calf","","",""
"37435-22015","QB","Russell","Russell Wilson","Wilson","19.1200008392334","16","8200","CIN@SEA","SEA","CIN","","","","",""
"37435-31360","WR","Odell","Odell Beckham Jr.","Beckham Jr.","15.986666361490885","12","8200","TEN@CLE","CLE","TEN","","","","",""
"37435-62497","RB","David","David Johnson","Johnson","13.850000381469727","16","8100","DET@ARI","ARI","DET","","","","",""
"37435-28900","RB","Melvin","Melvin Gordon III","Gordon III","20.875","12","8000","IND@LAC","LAC","IND","O","Contract dispute","","",""
"37435-6616","QB","Matt","Matt Ryan","Ryan","22.591249465942383","16","8000","ATL@MIN","ATL","MIN","","","","",""
"37435-28181","RB","Le'Veon","Le'Veon Bell","Bell","0","0","7900","BUF@NYJ","NYJ","BUF","","","","",""
"37435-41535","QB","Baker","Baker Mayfield","Mayfield","18.150000435965403","14","7900","TEN@CLE","CLE","TEN","","","","",""
"37435-32384","WR","Mike","Mike Evans","Evans","15.462499618530273","16","7900","SF@TB","TB","SF","","","","",""
"37435-14185","QB","Cam","Cam Newton","Newton","21.114286150251115","14","7900","LAR@CAR","CAR","LAR","","","","",""
"37435-52442","RB","Joe","Joe Mixon","Mixon","15.849999564034599","14","7800","CIN@SEA","CIN","SEA","","","","",""
"37435-33076","TE","Travis","Travis Kelce","Kelce","15.193750381469727","16","7800","KC@JAC","KC","JAC","","","","",""
"37435-38435","QB","Jared","Jared Goff","Goff","20.145000457763672","16","7800","LAR@CAR","LAR","CAR","","","","",""
"37435-22031","WR","T.Y.","T.Y. Hilton","Hilton","14.357142857142858","14","7700","IND@LAC","IND","LAC","","","","",""
"37435-29253","WR","Keenan","Keenan Allen","Allen","14.106667073567708","15","7700","IND@LAC","LAC","IND","","","","",""
"37435-53681","WR","Tyreek","Tyreek Hill","Hill","18.15625","16","7600","KC@JAC","KC","JAC","","","","",""
"37435-70324","QB","Carson","Carson Wentz","Wentz","18.19636396928267","11","7600","WAS@PHI","PHI","WAS","","","","",""
"37435-30447","RB","Todd","Todd Gurley II","Gurley II","24.471429007393972","14","7600","LAR@CAR","LAR","CAR","","","","",""
"37435-24849","QB","Jameis","Jameis Winston","Winston","19.07090897993608","11","7500","SF@TB","TB","SF","","","","",""
"37435-31001","WR","Amari","Amari Cooper","Cooper","11.866666666666667","15","7500","NYG@DAL","DAL","NYG","","","","",""
"37435-7968","QB","Philip","Philip Rivers","Rivers","18.563749313354492","16","7500","IND@LAC","LAC","IND","","","","",""
"37435-31716","QB","Dak","Dak Prescott","Prescott","18.368749618530273","16","7500","NYG@DAL","DAL","NYG","","","","",""
"37435-53562","RB","Nick","Nick Chubb","Chubb","11.53125","16","7400","TEN@CLE","CLE","TEN","","","","",""
