"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38271-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","17.25","16","9000","HOU@NO","HOU","NO","","","","",""
"38271-42104","RB","Alvin","Alvin Kamara","Kamara","20.913334147135416","15","9000","HOU@NO","NO","HOU","","","","",""
"38271-54879","QB","Deshaun","Deshaun Watson","Watson","21.293750762939453","16","8600","HOU@NO","HOU","NO","","","","",""
"38271-28573","WR","Michael","Michael Thomas","Thomas","15.8125","16","8500","HOU@NO","NO","HOU","","","","",""
"38271-6504","QB","Drew","Drew Brees","Brees","20.632000732421876","15","8300","HOU@NO","NO","HOU","","","","",""
"38271-11612","WR","Antonio","Antonio Brown","Brown","18.113334147135415","15","7700","DEN@OAK","OAK","DEN","","","","",""
"38271-45859","QB","Derek","Derek Carr","Carr","14.141249656677246","16","7200","DEN@OAK","OAK","DEN","","","","",""
"38271-6714","QB","Joe","Joe Flacco","Flacco","15.900000678168404","9","7000","DEN@OAK","DEN","OAK","","","","",""
"38271-41426","RB","Phillip","Phillip Lindsay","Lindsay","13.686666870117188","15","7000","DEN@OAK","DEN","OAK","","","","",""
"38271-72731","RB","Josh","Josh Jacobs","Jacobs","0","0","6800","DEN@OAK","OAK","DEN","","","","",""
"38271-7761","TE","Jared","Jared Cook","Cook","9.975000381469727","16","6500","HOU@NO","NO","HOU","","","","",""
"38271-25837","RB","Duke","Duke Johnson","Johnson","6.78125","16","6500","HOU@NO","HOU","NO","","","","",""
"38271-42028","WR","Will","Will Fuller V","Fuller V","12.900000435965401","7","6100","HOU@NO","HOU","NO","","","","",""
"38271-45565","QB","Taysom","Taysom Hill","Hill","2.2040000915527345","15","6100","HOU@NO","NO","HOU","","","","",""
"38271-34331","RB","Latavius","Latavius Murray","Murray","7.556250095367432","16","6000","HOU@NO","NO","HOU","","","","",""
"38271-64051","QB","Drew","Drew Lock","Lock","0","0","6000","DEN@OAK","DEN","OAK","IR","Thumb","","",""
"38271-57537","QB","DeShone","DeShone Kizer","Kizer","2.4600000381469727","3","6000","DEN@OAK","OAK","DEN","","","","",""
"38271-25410","QB","Mike","Mike Glennon","Glennon","5.480000019073486","2","6000","DEN@OAK","OAK","DEN","","","","",""
"38271-31170","QB","Brandon","Brandon Allen","Allen","0","0","6000","DEN@OAK","DEN","OAK","","","","",""
"38271-31047","QB","AJ","AJ McCarron","McCarron","0.05999999865889549","2","6000","HOU@NO","HOU","NO","","","","",""
"38271-61157","QB","Brett","Brett Rypien","Rypien","0","0","6000","DEN@OAK","DEN","OAK","","","","",""
"38271-33259","QB","Teddy","Teddy Bridgewater","Bridgewater","2.055000066757202","4","6000","HOU@NO","NO","HOU","","","","",""
"38271-54507","QB","Alex","Alex McGough","McGough","0","0","6000","HOU@NO","HOU","NO","","","","",""
"38271-55970","RB","Royce","Royce Freeman","Freeman","6.735714503696987","14","5900","DEN@OAK","DEN","OAK","","","","",""
"38271-57403","WR","Courtland","Courtland Sutton","Sutton","7.206250190734863","16","5900","DEN@OAK","DEN","OAK","","","","",""
"38271-64242","WR","Keke","Keke Coutee","Coutee","8.116666793823242","6","5900","HOU@NO","HOU","NO","NA","Ankle","","",""
"38271-28473","RB","Carlos","Carlos Hyde","Hyde","6.671428680419922","14","5800","HOU@NO","HOU","NO","","","","",""
"38271-11505","WR","Emmanuel","Emmanuel Sanders","Sanders","13.56000010172526","12","5700","DEN@OAK","DEN","OAK","","","","",""
"38271-62535","WR","Tyrell","Tyrell Williams","Williams","7.820000203450521","15","5500","DEN@OAK","OAK","DEN","","","","",""
"38271-25011","TE","Darren","Darren Waller","Waller","4.200000127156575","3","5400","DEN@OAK","OAK","DEN","","","","",""
"38271-57342","WR","Tre'Quan","Tre'Quan Smith","Smith","6.669230534480168","13","5400","HOU@NO","NO","HOU","","","","",""
"38271-41741","WR","DaeSean","DaeSean Hamilton","Hamilton","5.6999999152289496","9","5300","DEN@OAK","DEN","OAK","","","","",""
"38271-27457","WR","Kenny","Kenny Stills","Stills","7.727999877929688","15","5200","HOU@NO","HOU","NO","","","","",""
"38271-71705","TE","Noah","Noah Fant","Fant","0","0","5100","DEN@OAK","DEN","OAK","","","","",""
"38271-33578","RB","Jalen","Jalen Richard","Richard","7.662499904632568","16","5100","DEN@OAK","OAK","DEN","","","","",""
"38271-6627","WR","Ted","Ted Ginn Jr.","Ginn Jr.","8.8","5","5000","HOU@NO","NO","HOU","","","","",""
"38271-12531","D","Denver","Denver Broncos","Broncos","8.25","16","4800","DEN@OAK","DEN","OAK","","","","",""
