"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38185-55050","RB","Christian","Christian McCaffrey","McCaffrey","20.75","16","8900","LAR@CAR","CAR","LAR","","","","",""
"38185-57439","QB","Patrick","Patrick Mahomes","Mahomes","26.8174991607666","16","8700","KC@JAC","KC","JAC","","","","",""
"38185-14190","WR","Julio","Julio Jones","Jones","16.837499618530273","16","8500","ATL@MIN","ATL","MIN","","","","",""
"38185-31360","WR","Odell","Odell Beckham Jr.","Beckham Jr.","15.986666361490885","12","8200","TEN@CLE","CLE","TEN","","","","",""
"38185-6616","QB","Matt","Matt Ryan","Ryan","22.591249465942383","16","8000","ATL@MIN","ATL","MIN","","","","",""
"38185-28181","RB","Le'Veon","Le'Veon Bell","Bell","0","0","7900","BUF@NYJ","NYJ","BUF","","","","",""
"38185-41535","QB","Baker","Baker Mayfield","Mayfield","18.150000435965403","14","7900","TEN@CLE","CLE","TEN","","","","",""
"38185-14185","QB","Cam","Cam Newton","Newton","21.114286150251115","14","7900","LAR@CAR","CAR","LAR","","","","",""
"38185-38435","QB","Jared","Jared Goff","Goff","20.145000457763672","16","7800","LAR@CAR","LAR","CAR","","","","",""
"38185-33076","TE","Travis","Travis Kelce","Kelce","15.193750381469727","16","7800","KC@JAC","KC","JAC","","","","",""
"38185-70324","QB","Carson","Carson Wentz","Wentz","18.19636396928267","11","7600","WAS@PHI","PHI","WAS","","","","",""
"38185-30447","RB","Todd","Todd Gurley II","Gurley II","24.471429007393972","14","7600","LAR@CAR","LAR","CAR","","","","",""
"38185-53681","WR","Tyreek","Tyreek Hill","Hill","18.15625","16","7600","KC@JAC","KC","JAC","","","","",""
"38185-22038","QB","Kirk","Kirk Cousins","Cousins","18.28874969482422","16","7400","ATL@MIN","MIN","ATL","","","","",""
"38185-63115","QB","Lamar","Lamar Jackson","Jackson","10.0337495803833","16","7400","BAL@MIA","BAL","MIA","","","","",""
"38185-39716","WR","Adam","Adam Thielen","Thielen","15.675000190734863","16","7400","ATL@MIN","MIN","ATL","","","","",""
"38185-53562","RB","Nick","Nick Chubb","Chubb","11.53125","16","7400","TEN@CLE","CLE","TEN","","","","",""
"38185-54140","RB","Dalvin","Dalvin Cook","Cook","12","11","7400","ATL@MIN","MIN","ATL","","","","",""
"38185-52922","RB","Leonard","Leonard Fournette","Fournette","13.675000190734863","8","7200","KC@JAC","JAC","KC","","","","",""
"38185-25079","WR","Stefon","Stefon Diggs","Diggs","14.353333536783854","15","7200","ATL@MIN","MIN","ATL","Q","Hamstring","","",""
"38185-29780","TE","Zach","Zach Ertz","Ertz","13.893750190734863","16","7100","WAS@PHI","PHI","WAS","","","","",""
"38185-29501","WR","Brandin","Brandin Cooks","Cooks","13.546666463216146","15","7000","LAR@CAR","LAR","CAR","","","","",""
"38185-29685","WR","Robert","Robert Woods","Woods","13.912500381469727","16","7000","LAR@CAR","LAR","CAR","","","","",""
"38185-62239","QB","Josh","Josh Allen","Allen","18.338333129882812","12","6900","BUF@NYJ","BUF","NYJ","","","","",""
"38185-27441","RB","Damien","Damien Williams","Williams","8.70999984741211","10","6900","KC@JAC","KC","JAC","","","","",""
"38185-79970","WR","Cooper","Cooper Kupp","Kupp","14.387499809265137","8","6800","LAR@CAR","LAR","CAR","","","","",""
"38185-39280","RB","Derrick","Derrick Henry","Henry","12.116250038146973","16","6800","TEN@CLE","TEN","CLE","","","","",""
"38185-63589","QB","Sam","Sam Darnold","Darnold","14.107691838191105","13","6700","BUF@NYJ","NYJ","BUF","","","","",""
"38185-24920","RB","Devonta","Devonta Freeman","Freeman","5.800000190734863","2","6700","ATL@MIN","ATL","MIN","","","","",""
"38185-21980","WR","Alshon","Alshon Jeffery","Jeffery","11.753846388596754","13","6700","WAS@PHI","PHI","WAS","Q","Biceps","","",""
"38185-14211","RB","Mark","Mark Ingram II","Ingram II","11","12","6600","BAL@MIA","BAL","MIA","","","","",""
"38185-22027","QB","Nick","Nick Foles","Foles","15.944000244140625","5","6500","KC@JAC","JAC","KC","","","","",""
"38185-64555","WR","Calvin","Calvin Ridley","Ridley","10.925000190734863","16","6500","ATL@MIN","ATL","MIN","","","","",""
"38185-29358","QB","Marcus","Marcus Mariota","Mariota","13.101428440638951","14","6500","TEN@CLE","TEN","CLE","","","","",""
"38185-24641","WR","Sammy","Sammy Watkins","Watkins","9.509999847412109","10","6300","KC@JAC","KC","JAC","","","","",""
"38185-26251","WR","Robby","Robby Anderson","Anderson","9.385713849748884","14","6300","BUF@NYJ","NYJ","BUF","Q","Calf","","",""
"38185-31394","WR","Jarvis","Jarvis Landry","Landry","11.038749694824219","16","6300","TEN@CLE","CLE","TEN","","","","",""
"38185-63043","WR","DJ","DJ Moore","Moore","8.09375","16","6200","LAR@CAR","CAR","LAR","","","","",""
"38185-45439","WR","Corey","Corey Davis","Davis","9.443750381469727","16","6200","TEN@CLE","TEN","CLE","","","","",""
"38185-62364","QB","Josh","Josh Rosen","Rosen","9.065714154924665","14","6200","BAL@MIA","MIA","BAL","","","","",""
"38185-22994","QB","Case","Case Keenum","Keenum","14.368749618530273","16","6200","WAS@PHI","WAS","PHI","","","","",""
"38185-73183","QB","Dwayne","Dwayne Haskins Jr.","Haskins Jr.","0","0","6200","WAS@PHI","WAS","PHI","","","","",""
"38185-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick","22.229999542236328","8","6200","BAL@MIA","MIA","BAL","","","","",""
"38185-34308","QB","Blake","Blake Bortles","Bortles","14.170769324669472","13","6000","LAR@CAR","LAR","CAR","","","","",""
"38185-6679","QB","Matt","Matt Schaub","Schaub","0.30000001192092896","2","6000","ATL@MIN","ATL","MIN","","","","",""
"38185-7744","QB","Drew","Drew Stanton","Stanton","0","0","6000","TEN@CLE","CLE","TEN","","","","",""
"38185-52342","QB","Will","Will Grier","Grier","0","0","6000","LAR@CAR","CAR","LAR","","","","",""
"38185-63611","QB","Kyle","Kyle Shurmur","Shurmur","0","0","6000","KC@JAC","KC","JAC","","","","",""
"38185-83079","QB","Kyle","Kyle Lauletta","Lauletta","-1.2000000476837158","1","6000","WAS@PHI","PHI","WAS","","","","",""
"38185-6803","QB","Josh","Josh McCown","McCown","6.190000057220459","4","6000","WAS@PHI","PHI","WAS","","","","",""
"38185-6808","QB","Matt","Matt Moore","Moore","0","0","6000","KC@JAC","KC","JAC","","","","",""
"38185-27801","QB","Nate","Nate Sudfeld","Sudfeld","2.3399999141693115","2","6000","WAS@PHI","PHI","WAS","O","Wrist","","",""
"38185-71845","RB","Miles","Miles Sanders","Sanders","0","0","6000","WAS@PHI","PHI","WAS","","","","",""
"38185-62133","QB","Chase","Chase Litton","Litton","0","0","6000","KC@JAC","JAC","KC","","","","",""
"38185-45259","QB","Logan","Logan Woodside","Woodside","0","0","6000","TEN@CLE","TEN","CLE","","","","",""
"38185-11500","QB","Colt","Colt McCoy","McCoy","10.06000010172526","3","6000","WAS@PHI","WAS","PHI","O","Lower leg","","",""
"38185-29445","QB","Sean","Sean Mannion","Mannion","0.006666666517655055","3","6000","ATL@MIN","MIN","ATL","","","","",""
"38185-30989","RB","Kenyan","Kenyan Drake","Drake","11.231249809265137","16","6000","BAL@MIA","MIA","BAL","","","","",""
"38185-28434","QB","Trevor","Trevor Siemian","Siemian","0","0","6000","BUF@NYJ","NYJ","BUF","","","","",""
"38185-27982","QB","Jake","Jake Rudock","Rudock","0","0","6000","BAL@MIA","MIA","BAL","","","","",""
"38185-61798","QB","Gardner","Gardner Minshew II","Minshew II","0","0","6000","KC@JAC","JAC","KC","","","","",""
"38185-53095","QB","Kyle","Kyle Allen","Allen","13.270000457763672","2","6000","LAR@CAR","CAR","LAR","","","","",""
"38185-39795","QB","Davis","Davis Webb","Webb","0","0","6000","BUF@NYJ","BUF","NYJ","","","","",""
"38185-56192","QB","John","John Wolford","Wolford","0","0","6000","LAR@CAR","LAR","CAR","","","","",""
"38185-32158","QB","Garrett","Garrett Gilbert","Gilbert","1.600000023841858","1","6000","TEN@CLE","CLE","TEN","","","","",""
"38185-29605","QB","Matt","Matt Barkley","Barkley","17.079999923706055","1","6000","BUF@NYJ","BUF","NYJ","","","","",""
"38185-60840","QB","Jake","Jake Browning","Browning","0","0","6000","ATL@MIN","MIN","ATL","","","","",""
"38185-21941","QB","Robert","Robert Griffin III","Griffin III","0.41999998688697815","2","6000","BAL@MIA","BAL","MIA","","","","",""
"38185-38837","QB","Danny","Danny Etling","Etling","0","0","6000","ATL@MIN","ATL","MIN","","","","",""
"38185-21948","QB","Ryan","Ryan Tannehill","Tannehill","13.76909151944247","11","6000","TEN@CLE","TEN","CLE","","","","",""
"38185-56286","QB","Trace","Trace McSorley","McSorley","0","0","6000","BAL@MIA","BAL","MIA","","","","",""
"38185-41966","QB","Luke","Luke Falk","Falk","0","0","6000","BUF@NYJ","NYJ","BUF","","","","",""
"38185-60735","RB","Derrius","Derrius Guice","Guice","0","0","5900","WAS@PHI","WAS","PHI","","","","",""
