PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Dalvin Cook,RB,MIN,ATL,-110,47.50,-4.00,25.75,7400,16.7,2.3,28.49
Christian McCaffrey,RB,CAR,LAR,-110,50.00,2.00,24.00,8900,18.9,2.1,25.43
Adam Thielen,WR,MIN,ATL,-110,47.50,-4.00,25.75,7400,14.7,2.0,24.98
Leonard Fournette,RB,JAX,KC,100,51.50,3.00,24.25,7200,15.5,2.2,24.04
Nick Chubb,RB,CLE,TEN,-110,45.50,-5.50,25.50,7400,17.4,2.3,22.93
Odell Beckham,WR,CLE,TEN,-110,45.50,-5.50,25.50,8200,15.7,1.9,22.86
Julio Jones,WR,ATL,@MIN,-110,47.50,4.00,21.75,8500,15.9,1.9,21.98
Stefon Diggs,WR,MIN,ATL,-110,47.50,-4.00,25.75,7200,13.5,1.9,20.71
Patrick Mahomes,QB,KC,@JAX,-120,51.50,-3.00,27.25,8700,24.3,2.8,20.04
Tyreek Hill,WR,KC,@JAX,-120,51.50,-3.00,27.25,7600,15.4,2.0,17.45
Todd Gurley,RB,LAR,@CAR,-110,50.00,-2.00,26.00,7600,16.0,2.1,16.86
Derrick Henry,RB,TEN,@CLE,-110,45.50,5.50,20.00,6800,12.6,1.9,16.35
Brandin Cooks,WR,LAR,@CAR,-110,50.00,-2.00,26.00,7000,13.0,1.9,14.30
Baker Mayfield,QB,CLE,TEN,-110,45.50,-5.50,25.50,7900,21.5,2.7,14.18
Robert Woods,WR,LAR,@CAR,-110,50.00,-2.00,26.00,7000,12.8,1.8,13.73
Carson Wentz,QB,PHI,WAS,-110,45.00,-10.00,27.50,7600,20.3,2.7,13.68
Devonta Freeman,RB,ATL,@MIN,-110,47.50,4.00,21.75,6700,14.3,2.1,13.17
Alshon Jeffery,WR,PHI,WAS,-110,45.00,-10.00,27.50,6700,10.9,1.6,13.14
Zach Ertz,TE,PHI,WAS,-110,45.00,-10.00,27.50,7100,12.7,1.8,12.46
D.J. Moore,WR,CAR,LAR,-110,50.00,2.00,24.00,6200,11.3,1.8,11.67
Dede Westbrook,WR,JAX,KC,100,51.50,3.00,24.25,5900,10.5,1.8,11.42
Corey Davis,WR,TEN,@CLE,-110,45.50,5.50,20.00,6200,9.9,1.6,11.02
Damien Williams,RB,KC,@JAX,-120,51.50,-3.00,27.25,6900,14.2,2.1,10.92
Travis Kelce,TE,KC,@JAX,-120,51.50,-3.00,27.25,7800,14.0,1.8,10.78
DeSean Jackson,WR,PHI,WAS,-110,45.00,-10.00,27.50,5600,9.2,1.6,10.21
Derrius Guice,RB,WAS,@PHI,-110,45.00,10.00,17.50,5900,9.9,1.7,9.98
Jarvis Landry,WR,CLE,TEN,-110,45.50,-5.50,25.50,6300,10.6,1.7,9.85
Kirk Cousins,QB,MIN,ATL,-110,47.50,-4.00,25.75,7400,19.6,2.6,9.72
Le'Veon Bell,RB,NYJ,BUF,-115,40.50,-2.50,21.50,7900,16.5,2.1,9.40
Jared Goff,QB,LAR,@CAR,-110,50.00,-2.00,26.00,7800,20.4,2.6,9.15
Curtis Samuel,WR,CAR,LAR,-110,50.00,2.00,24.00,5900,10.2,1.7,8.90
Dion Lewis,RB,TEN,@CLE,-110,45.50,5.50,20.00,5600,8.8,1.6,8.88
Nelson Agholor,WR,PHI,WAS,-110,45.00,-10.00,27.50,5000,8.3,1.7,8.79
Cam Newton,QB,CAR,LAR,-110,50.00,2.00,24.00,7900,20.4,2.6,8.78
Calvin Ridley,WR,ATL,@MIN,-110,47.50,4.00,21.75,6500,10.5,1.6,8.51
Sammy Watkins,WR,KC,@JAX,-120,51.50,-3.00,27.25,6300,10.8,1.7,8.25
Paul Richardson,WR,WAS,@PHI,-110,45.00,10.00,17.50,4900,7.8,1.6,7.96
Jordan Howard,RB,PHI,WAS,-110,45.00,-10.00,27.50,5800,8.9,1.5,7.89
Adam Humphries,WR,TEN,@CLE,-110,45.50,5.50,20.00,5200,8.0,1.5,7.80
Delanie Walker,TE,TEN,@CLE,-110,45.50,5.50,20.00,5400,8.4,1.6,7.66
Kyle Rudolph,TE,MIN,ATL,-110,47.50,-4.00,25.75,5100,8.3,1.6,7.50
Matt Ryan,QB,ATL,@MIN,-110,47.50,4.00,21.75,8000,19.0,2.4,7.10
Rashard Higgins,WR,CLE,TEN,-110,45.50,-5.50,25.50,4500,8.3,1.8,7.03
David Njoku,TE,CLE,TEN,-110,45.50,-5.50,25.50,5800,9.3,1.6,6.97
Cooper Kupp,WR,LAR,@CAR,-110,50.00,-2.00,26.00,6800,9.2,1.4,6.40
Mohamed Sanu,WR,ATL,@MIN,-110,47.50,4.00,21.75,5300,8.7,1.7,6.31
Robby Anderson,WR,NYJ,BUF,-115,40.50,-2.50,21.50,6300,11.3,1.8,6.18
Jordan Reed,TE,WAS,@PHI,-110,45.00,10.00,17.50,5300,7.1,1.3,6.07
Mark Ingram,RB,BAL,@MIA,-110,38.50,-6.50,22.50,6600,12.9,2.0,6.02
John Brown,WR,BUF,@NYJ,-105,40.50,2.50,19.00,5500,9.0,1.6,5.75
Austin Hooper,TE,ATL,@MIN,-110,47.50,4.00,21.75,5500,8.2,1.5,5.73
Miles Sanders,RB,PHI,WAS,-110,45.00,-10.00,27.50,6000,7.7,1.3,5.72
Dallas Goedert,TE,PHI,WAS,-110,45.00,-10.00,27.50,5000,6.6,1.3,5.63
Greg Olsen,TE,CAR,LAR,-110,50.00,2.00,24.00,5200,7.6,1.5,5.39
Chris Thompson,RB,WAS,@PHI,-110,45.00,10.00,17.50,5100,6.7,1.3,4.79
Vernon Davis,TE,WAS,@PHI,-110,45.00,10.00,17.50,4000,5.2,1.3,4.53
Trey Quinn,WR,WAS,@PHI,-110,45.00,10.00,17.50,4900,5.9,1.2,4.41
Gerald Everett,TE,LAR,@CAR,-110,50.00,-2.00,26.00,4900,6.6,1.4,4.34
Devin Singletary,RB,BUF,@NYJ,-105,40.50,2.50,19.00,5300,8.5,1.6,4.32
Nick Foles,QB,JAX,KC,100,51.50,3.00,24.25,6500,17.0,2.6,4.25
Jamison Crowder,WR,NYJ,BUF,-115,40.50,-2.50,21.50,5400,9.1,1.7,3.77
Marcus Mariota,QB,TEN,@CLE,-110,45.50,5.50,20.00,6500,16.3,2.5,3.70
A.J. Brown,WR,TEN,@CLE,-110,45.50,5.50,20.00,5100,5.3,1.1,3.54
Robert Foster,WR,BUF,@NYJ,-105,40.50,2.50,19.00,5700,7.4,1.3,3.52
Chris Conley,WR,JAX,KC,100,51.50,3.00,24.25,4500,5.5,1.2,3.49
Darrell Henderson,RB,LAR,@CAR,-110,50.00,-2.00,26.00,5400,7.6,1.4,3.44
Lamar Jackson,QB,BAL,@MIA,-110,38.50,-6.50,22.50,7400,20.2,2.7,3.26
Geoff Swaim,TE,JAX,KC,100,51.50,3.00,24.25,4500,4.4,1.0,3.26
Keelan Cole,WR,JAX,KC,100,51.50,3.00,24.25,4700,5.2,1.1,3.09
Josh Allen,QB,BUF,@NYJ,-105,40.50,2.50,19.00,6900,17.7,2.6,3.02
D.J. Chark,WR,JAX,KC,100,51.50,3.00,24.25,4900,5.2,1.1,3.02
Mark Andrews,TE,BAL,@MIA,-110,38.50,-6.50,22.50,5400,7.3,1.4,2.99
Terry McLaurin,WR,WAS,@PHI,-110,45.00,10.00,17.50,4500,4.4,1.0,2.63
Zay Jones,WR,BUF,@NYJ,-105,40.50,2.50,19.00,5000,6.5,1.3,2.61
Ito Smith,RB,ATL,@MIN,-110,47.50,4.00,21.75,5400,7.0,1.3,2.60
Quincy Enunwa,WR,NYJ,BUF,-115,40.50,-2.50,21.50,5200,7.8,1.5,2.48
Sam Darnold,QB,NYJ,BUF,-115,40.50,-2.50,21.50,6700,16.9,2.5,2.44
Jonnu Smith,TE,TEN,@CLE,-110,45.50,5.50,20.00,4000,3.1,0.8,2.40
Marqise Lee,WR,JAX,KC,100,51.50,3.00,24.25,5000,4.4,0.9,2.24
Frank Gore,RB,BUF,@NYJ,-105,40.50,2.50,19.00,4900,6.3,1.3,2.22
Irv Smith Jr.,TE,MIN,ATL,-110,47.50,-4.00,25.75,4000,2.8,0.7,2.13
Jarius Wright,WR,CAR,LAR,-110,50.00,2.00,24.00,4700,5.1,1.1,2.09
Josh Reynolds,WR,LAR,@CAR,-110,50.00,-2.00,26.00,4900,5.3,1.1,2.07
Ian Thomas,TE,CAR,LAR,-110,50.00,2.00,24.00,4600,3.6,0.8,2.01
Anthony Firkser,TE,TEN,@CLE,-110,45.50,5.50,20.00,4000,2.6,0.6,1.99
Chad Beebe,WR,MIN,ATL,-110,47.50,-4.00,25.75,4800,3.9,0.8,1.98
Adrian Peterson,RB,WAS,@PHI,-110,45.00,10.00,17.50,5600,3.7,0.7,1.93
LeSean McCoy,RB,KC,@JAX,-120,51.50,-3.00,27.25,5800,6.8,1.2,1.90
Tyler Higbee,TE,LAR,@CAR,-110,50.00,-2.00,26.00,4000,3.3,0.8,1.76
Marquise Brown,WR,BAL,@MIA,-110,38.50,-6.50,22.50,5000,7.2,1.4,1.72
James O'Shaughnessy,TE,JAX,KC,100,51.50,3.00,24.25,4000,2.4,0.6,1.72
Alexander Mattison,RB,MIN,ATL,-110,47.50,-4.00,25.75,4900,3.4,0.7,1.67
Mecole Hardman,WR,KC,@JAX,-120,51.50,-3.00,27.25,5100,5.3,1.0,1.65
Malcolm Brown,RB,LAR,@CAR,-110,50.00,-2.00,26.00,4900,5.1,1.0,1.58
Demarcus Robinson,WR,KC,@JAX,-120,51.50,-3.00,27.25,4800,5.1,1.1,1.56
Ryan Griffin,TE,NYJ,BUF,-115,40.50,-2.50,21.50,4000,4.2,1.1,1.45
Ryquell Armstead,RB,JAX,KC,100,51.50,3.00,24.25,4500,3.0,0.7,1.42
Hayden Hurst,TE,BAL,@MIA,-110,38.50,-6.50,22.50,4400,4.6,1.0,1.41
Demetrius Harris,TE,CLE,TEN,-110,45.50,-5.50,25.50,4000,2.4,0.6,1.37
Chris Hogan,WR,CAR,LAR,-110,50.00,2.00,24.00,4600,4.1,0.9,1.31
Taywan Taylor,WR,CLE,TEN,-110,45.50,-5.50,25.50,4500,3.9,0.9,1.31
Dawson Knox,TE,BUF,@NYJ,-105,40.50,2.50,19.00,4600,2.9,0.6,1.30
Cole Beasley,WR,BUF,@NYJ,-105,40.50,2.50,19.00,4800,4.5,0.9,1.24
T.J. Yeldon,RB,BUF,@NYJ,-105,40.50,2.50,19.00,4600,4.6,1.0,1.21
Darren Sproles,RB,PHI,WAS,-110,45.00,-10.00,27.50,4600,2.6,0.6,1.17
Tyler Conklin,TE,MIN,ATL,-110,47.50,-4.00,25.75,4000,1.3,0.3,1.13
Willie Snead,WR,BAL,@MIA,-110,38.50,-6.50,22.50,4800,6.1,1.3,1.11
Jeremy Sprinkle,TE,WAS,@PHI,-110,45.00,10.00,17.50,4000,1.1,0.3,1.11
Josh Oliver,TE,JAX,KC,100,51.50,3.00,24.25,4500,1.2,0.3,1.09
Tajae Sharpe,WR,TEN,@CLE,-110,45.50,5.50,20.00,4500,2.3,0.5,1.01
J.J. Arcega-Whiteside,WR,PHI,WAS,-110,45.00,-10.00,27.50,4800,2.1,0.4,0.93
MyCole Pruitt,TE,TEN,@CLE,-110,45.50,5.50,20.00,4000,0.6,0.1,0.85
Ty Montgomery,RB,NYJ,BUF,-115,40.50,-2.50,21.50,4900,6.3,1.3,0.83
Corey Clement,RB,PHI,WAS,-110,45.00,-10.00,27.50,4500,1.8,0.4,0.82
Deon Yelder,TE,KC,@JAX,-120,51.50,-3.00,27.25,4000,1.9,0.5,0.81
Wendell Smallwood,RB,WAS,@PHI,-110,45.00,10.00,17.50,4700,1.7,0.4,0.81
Dontrell Hilliard,RB,CLE,TEN,-110,45.50,-5.50,25.50,4800,3.2,0.7,0.79
Miles Boykin,WR,BAL,@MIA,-110,38.50,-6.50,22.50,4500,5.3,1.2,0.78
Tyler Kroft,TE,BUF,@NYJ,-105,40.50,2.50,19.00,4300,1.8,0.4,0.78
Mike Gesicki,TE,MIA,BAL,-110,38.50,6.50,16.00,4900,5.0,1.0,0.77
D'Ernest Johnson,RB,CLE,TEN,-110,45.50,-5.50,25.50,4500,2.9,0.6,0.69
Mike Boone,RB,MIN,ATL,-110,47.50,-4.00,25.75,4500,1.4,0.3,0.69
Kenyan Drake,RB,MIA,BAL,-110,38.50,6.50,16.00,6000,9.5,1.6,0.68
DeVante Parker,WR,MIA,BAL,-110,38.50,6.50,16.00,5300,7.4,1.4,0.68
Robert Davis,WR,WAS,@PHI,-110,45.00,10.00,17.50,4500,1.5,0.3,0.67
Ricky Seals-Jones,TE,CLE,TEN,-110,45.50,-5.50,25.50,4700,0.7,0.2,0.67
Jaeden Graham,TE,ATL,@MIN,-110,47.50,4.00,21.75,4000,1.1,0.3,0.64
Ryan Fitzpatrick,QB,MIA,BAL,-110,38.50,6.50,16.00,6200,16.2,2.6,0.63
Darwin Thompson,RB,KC,@JAX,-120,51.50,-3.00,27.25,4500,3.7,0.8,0.59
Devine Ozigbo,RB,JAX,KC,100,51.50,3.00,24.25,4500,1.0,0.2,0.55
Mack Hollins,WR,PHI,WAS,-110,45.00,-10.00,27.50,4500,1.2,0.3,0.53
Jordan Scarlett,RB,CAR,LAR,-110,50.00,2.00,24.00,4700,2.1,0.4,0.49
David Fluellen,RB,TEN,@CLE,-110,45.50,5.50,20.00,4500,0.4,0.1,0.48
Ameer Abdullah,RB,MIN,ATL,-110,47.50,-4.00,25.75,4500,0.6,0.1,0.47
Dalyn Dawkins,RB,TEN,@CLE,-110,45.50,5.50,20.00,4500,0.3,0.1,0.47
Albert Wilson,WR,MIA,BAL,-110,38.50,6.50,16.00,5000,6.6,1.3,0.46
Luke Stocker,TE,ATL,@MIN,-110,47.50,4.00,21.75,4000,0.5,0.1,0.44
Reggie Bonnafon,RB,CAR,LAR,-110,50.00,2.00,24.00,4500,1.8,0.4,0.41
Gus Edwards,RB,BAL,@MIA,-110,38.50,-6.50,22.50,4800,4.2,0.9,0.40
Russell Gage,WR,ATL,@MIN,-110,47.50,4.00,21.75,4500,1.9,0.4,0.37
Blake Bell,TE,KC,@JAX,-120,51.50,-3.00,27.25,4000,0.6,0.2,0.37
Justice Hill,RB,BAL,@MIA,-110,38.50,-6.50,22.50,5000,4.0,0.8,0.35
Darius Jennings,WR,TEN,@CLE,-110,45.50,5.50,20.00,4500,0.5,0.1,0.35
Steven Sims,WR,WAS,@PHI,-110,45.00,10.00,17.50,4500,0.4,0.1,0.35
Kelvin Harmon,WR,WAS,@PHI,-110,45.00,10.00,17.50,4500,0.4,0.1,0.35
Nick Boyle,TE,BAL,@MIA,-110,38.50,-6.50,22.50,4000,1.8,0.4,0.32
Qadree Ollison,RB,ATL,@MIN,-110,47.50,4.00,21.75,4700,1.8,0.4,0.30
Damion Ratley,WR,CLE,TEN,-110,45.50,-5.50,25.50,4500,1.3,0.3,0.30
Kalen Ballage,RB,MIA,BAL,-110,38.50,6.50,16.00,5700,7.5,1.3,0.29
Jakeem Grant,WR,MIA,BAL,-110,38.50,6.50,16.00,4500,5.6,1.2,0.28
Seth Roberts,WR,BAL,@MIA,-110,38.50,-6.50,22.50,4500,3.5,0.8,0.25
Chris Moore,WR,BAL,@MIA,-110,38.50,-6.50,22.50,5100,3.4,0.7,0.24
Justin Hardy,WR,ATL,@MIN,-110,47.50,4.00,21.75,4500,1.3,0.3,0.23
KhaDarel Hodge,WR,CLE,TEN,-110,45.50,-5.50,25.50,4500,0.9,0.2,0.22
Brian Hill,RB,ATL,@MIN,-110,47.50,4.00,21.75,4500,1.0,0.2,0.18
Mike Thomas,WR,LAR,@CAR,-110,50.00,-2.00,26.00,4500,0.9,0.2,0.18
Olamide Zaccheaus,WR,ATL,@MIN,-110,47.50,4.00,21.75,4500,0.8,0.2,0.17
Nsimba Webster,WR,LAR,@CAR,-110,50.00,-2.00,26.00,4500,0.7,0.2,0.15
Trevon Wesco,TE,NYJ,BUF,-115,40.50,-2.50,21.50,4500,0.4,0.1,0.15
Isaiah McKenzie,WR,BUF,@NYJ,-105,40.50,2.50,19.00,4500,1.0,0.2,0.14
Kenjon Barner,RB,ATL,@MIN,-110,47.50,4.00,21.75,4500,0.6,0.1,0.13
Byron Pringle,WR,KC,@JAX,-120,51.50,-3.00,27.25,4500,0.9,0.2,0.12
Andre Roberts,WR,BUF,@NYJ,-105,40.50,2.50,19.00,4500,1.0,0.2,0.10
Darrel Williams,RB,KC,@JAX,-120,51.50,-3.00,27.25,4800,0.5,0.1,0.09
Trenton Cannon,RB,NYJ,BUF,-115,40.50,-2.50,21.50,4600,2.2,0.5,0.08
Josh Bellamy,WR,NYJ,BUF,-115,40.50,-2.50,21.50,4500,1.6,0.4,0.07
Case Keenum,QB,WAS,@PHI,-110,45.00,10.00,17.50,6200,9.0,1.5,0.05
Bilal Powell,RB,NYJ,BUF,-115,40.50,-2.50,21.50,4500,1.5,0.3,0.05
Allen Hurns,WR,MIA,BAL,-110,38.50,6.50,16.00,4500,3.1,0.7,0.03
Braxton Berrios,WR,NYJ,BUF,-115,40.50,-2.50,21.50,4500,0.4,0.1,0.02
Mark Walton,RB,MIA,BAL,-110,38.50,6.50,16.00,4500,2.7,0.6,0.01
Preston Williams,WR,MIA,BAL,-110,38.50,6.50,16.00,4500,2.4,0.5,0.01
Durham Smythe,TE,MIA,BAL,-110,38.50,6.50,16.00,4000,0.9,0.2,0.01
Nick O'Leary,TE,MIA,BAL,-110,38.50,6.50,16.00,4000,0.9,0.2,0.01
Myles Gaskin,RB,MIA,BAL,-110,38.50,6.50,16.00,4500,1.3,0.3,0.00
Chandler Cox,RB,MIA,BAL,-110,38.50,6.50,16.00,4500,0.2,0.0,0.00
