PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Alvin Kamara,RB,NO,HOU,-105,52.50,-7.00,29.75,8700,20.8,2.4,49.12
DeAndre Hopkins,WR,HOU,@NO,-115,52.50,7.00,22.75,9000,16.1,1.8,35.28
Michael Thomas,WR,NO,HOU,-105,52.50,-7.00,29.75,8500,16.1,1.9,35.06
Saquon Barkley,RB,NYG,@DAL,-115,45.50,7.50,19.00,9200,21.3,2.3,28.15
JuJu Smith-Schuster,WR,PIT,@NE,-110,49.00,5.50,21.75,8100,15.8,2.0,27.08
Mike Evans,WR,TB,SF,-110,51.00,-1.00,26.00,7900,16.0,2.0,23.58
Deshaun Watson,QB,HOU,@NO,-115,52.50,7.00,22.75,8500,22.2,2.6,22.24
James Conner,RB,PIT,@NE,-110,49.00,5.50,21.75,7700,15.8,2.1,21.41
Amari Cooper,WR,DAL,NYG,-105,45.50,-7.50,26.50,7500,14.1,1.9,20.21
Duke Johnson,RB,HOU,@NO,-115,52.50,7.00,22.75,6100,12.4,2.0,18.73
Drew Brees,QB,NO,HOU,-105,52.50,-7.00,29.75,8000,20.5,2.6,17.31
George Kittle,TE,SF,@TB,-110,51.00,1.00,25.00,7300,13.3,1.8,15.49
Tevin Coleman,RB,SF,@TB,-110,51.00,1.00,25.00,6300,12.2,1.9,14.06
Julian Edelman,WR,NE,PIT,-110,49.00,-5.50,27.25,7100,12.8,1.8,13.90
Ezekiel Elliott,RB,DAL,NYG,-105,45.50,-7.50,26.50,9100,13.7,1.5,13.54
Will Fuller,WR,HOU,@NO,-115,52.50,7.00,22.75,6100,9.5,1.6,12.95
Jameis Winston,QB,TB,SF,-110,51.00,-1.00,26.00,7500,21.4,2.9,12.15
Chris Godwin,WR,TB,SF,-110,51.00,-1.00,26.00,6900,11.9,1.7,11.95
Jared Cook,TE,NO,HOU,-105,52.50,-7.00,29.75,6000,9.6,1.6,11.79
Matt Breida,RB,SF,@TB,-110,51.00,1.00,25.00,5400,10.6,2.0,11.01
Dak Prescott,QB,DAL,NYG,-105,45.50,-7.50,26.50,7500,20.3,2.7,10.87
Michael Gallup,WR,DAL,NYG,-105,45.50,-7.50,26.50,5600,9.9,1.8,10.68
Josh Gordon,WR,NE,PIT,-110,49.00,-5.50,27.25,6300,10.7,1.7,10.28
O.J. Howard,TE,TB,SF,-110,51.00,-1.00,26.00,6500,10.7,1.6,10.17
