PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Chris Carson,RB,SEA,CIN,-110,44.00,-9.50,26.75,6600,15.2,2.3,16.99
Saquon Barkley,RB,NYG,@DAL,-115,45.50,7.50,19.00,9200,21.3,2.3,16.27
Mike Evans,WR,TB,SF,-110,51.00,-1.00,26.00,7900,16.0,2.0,14.74
Dalvin Cook,RB,MIN,ATL,-110,47.50,-4.00,25.75,7400,16.7,2.3,14.41
Adam Thielen,WR,MIN,ATL,-110,47.50,-4.00,25.75,7400,14.7,2.0,14.12
Odell Beckham,WR,CLE,TEN,-110,45.50,-5.50,25.50,8200,15.7,1.9,13.08
Christian McCaffrey,RB,CAR,LAR,-110,50.00,1.50,24.25,8900,18.9,2.1,12.94
Julio Jones,WR,ATL,@MIN,-110,47.50,4.00,21.75,8500,15.9,1.9,12.58
Leonard Fournette,RB,JAX,KC,100,51.50,3.00,24.25,7200,15.5,2.2,12.27
Amari Cooper,WR,DAL,NYG,-105,45.50,-7.50,26.50,7500,14.1,1.9,12.02
Nick Chubb,RB,CLE,TEN,-110,45.50,-5.50,25.50,7400,17.4,2.3,11.65
Stefon Diggs,WR,MIN,ATL,-110,47.50,-4.00,25.75,7200,13.5,1.9,11.64
Patrick Mahomes,QB,KC,@JAX,-120,51.50,-3.00,27.25,8700,24.3,2.8,11.51
Tyreek Hill,WR,KC,@JAX,-120,51.50,-3.00,27.25,7600,15.4,2.0,10.06
Jameis Winston,QB,TB,SF,-110,51.00,-1.00,26.00,7500,21.4,2.9,9.68
Keenan Allen,WR,LAC,IND,-110,44.50,-6.50,25.50,7700,13.8,1.8,9.28
Joe Mixon,RB,CIN,@SEA,-110,44.00,9.50,17.25,7800,14.9,1.9,9.23
Tyler Lockett,WR,SEA,CIN,-110,44.00,-9.50,26.75,6800,11.2,1.7,8.99
Todd Gurley,RB,LAR,@CAR,-110,50.00,-1.50,25.75,7600,16.0,2.1,8.69
Brandin Cooks,WR,LAR,@CAR,-110,50.00,-1.50,25.75,7000,13.0,1.9,8.24
Baker Mayfield,QB,CLE,TEN,-110,45.50,-5.50,25.50,7900,21.5,2.7,8.23
Tyler Boyd,WR,CIN,@SEA,-110,44.00,9.50,17.25,6900,11.8,1.7,8.20
Derrick Henry,RB,TEN,@CLE,-110,45.50,5.50,20.00,6800,12.6,1.9,8.07
Tevin Coleman,RB,SF,@TB,-110,51.00,1.00,25.00,6300,12.2,1.9,8.04
Carson Wentz,QB,PHI,WAS,-110,45.00,-10.00,27.50,7600,20.3,2.7,8.03
Robert Woods,WR,LAR,@CAR,-110,50.00,-1.50,25.75,7000,12.8,1.8,7.90
Austin Ekeler,RB,LAC,IND,-110,44.50,-6.50,25.50,6400,14.3,2.2,7.87
Ezekiel Elliott,RB,DAL,NYG,-105,45.50,-7.50,26.50,9100,13.7,1.5,7.78
Dak Prescott,QB,DAL,NYG,-105,45.50,-7.50,26.50,7500,20.3,2.7,7.65
Chris Godwin,WR,TB,SF,-110,51.00,-1.00,26.00,6900,11.9,1.7,7.62
David Johnson,RB,ARI,DET,-105,46.50,2.50,22.00,8100,17.3,2.1,7.49
Alshon Jeffery,WR,PHI,WAS,-110,45.00,-10.00,27.50,6700,10.9,1.6,7.14
George Kittle,TE,SF,@TB,-110,51.00,1.00,25.00,7300,13.3,1.8,7.12
Kerryon Johnson,RB,DET,@ARI,-115,46.50,-2.50,24.50,7000,14.7,2.1,7.11
