PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Alvin Kamara,RB,NO,HOU,-105,52.50,-7.00,29.75,8700,20.8,2.4,90.41
DeAndre Hopkins,WR,HOU,@NO,-115,52.50,7.00,22.75,9000,16.1,1.8,62.61
Michael Thomas,WR,NO,HOU,-105,52.50,-7.00,29.75,8500,16.1,1.9,60.90
JuJu Smith-Schuster,WR,PIT,@NE,-110,49.00,5.50,21.75,8100,15.8,2.0,46.24
James Conner,RB,PIT,@NE,-110,49.00,5.50,21.75,7700,15.8,2.1,37.27
Deshaun Watson,QB,HOU,@NO,-115,52.50,7.00,22.75,8500,22.2,2.6,35.89
Duke Johnson,RB,HOU,@NO,-115,52.50,7.00,22.75,6100,12.4,2.0,34.74
Jared Cook,TE,NO,HOU,-105,52.50,-7.00,29.75,6000,9.6,1.6,29.62
Drew Brees,QB,NO,HOU,-105,52.50,-7.00,29.75,8000,20.5,2.6,28.14
Vance McDonald,TE,PIT,@NE,-110,49.00,5.50,21.75,5600,9.0,1.6,23.05
Will Fuller,WR,HOU,@NO,-115,52.50,7.00,22.75,6100,9.5,1.6,22.82
Julian Edelman,WR,NE,PIT,-110,49.00,-5.50,27.25,7100,12.8,1.8,21.41
Latavius Murray,RB,NO,HOU,-105,52.50,-7.00,29.75,5900,9.3,1.6,16.10
Ben Roethlisberger,QB,PIT,@NE,-110,49.00,5.50,21.75,7600,19.2,2.5,16.08
Donte Moncrief,WR,PIT,@NE,-110,49.00,5.50,21.75,5400,9.1,1.7,15.85
Tom Brady,QB,NE,PIT,-110,49.00,-5.50,27.25,7300,19.0,2.6,15.76
Josh Gordon,WR,NE,PIT,-110,49.00,-5.50,27.25,6300,10.7,1.7,15.63
Kenny Stills,WR,HOU,@NO,-115,52.50,7.00,22.75,5800,7.7,1.3,14.61
Tre'Quan Smith,WR,NO,HOU,-105,52.50,-7.00,29.75,5200,7.7,1.5,14.60
James White,RB,NE,PIT,-110,49.00,-5.50,27.25,6300,11.9,1.9,12.56
Carlos Hyde,RB,HOU,@NO,-115,52.50,7.00,22.75,5400,7.5,1.4,12.27
Ted Ginn,WR,NO,HOU,-105,52.50,-7.00,29.75,5000,6.8,1.4,11.19
Matt LaCosse,TE,NE,PIT,-110,49.00,-5.50,27.25,4500,6.3,1.4,10.93
Sony Michel,RB,NE,PIT,-110,49.00,-5.50,27.25,6600,11.0,1.7,9.60
Darren Waller,TE,OAK,DEN,-110,43.00,2.50,20.25,4800,7.4,1.5,9.51
Jordan Akins,TE,HOU,@NO,-115,52.50,7.00,22.75,4100,4.1,1.0,9.34
Tyrell Williams,WR,OAK,DEN,-110,43.00,2.50,20.25,5400,10.4,1.9,8.50
Phillip Lindsay,RB,DEN,@OAK,-110,43.00,-2.50,22.75,6600,12.2,1.9,8.26
Emmanuel Sanders,WR,DEN,@OAK,-110,43.00,-2.50,22.75,5600,10.1,1.8,8.13
Josh Jacobs,RB,OAK,DEN,-110,43.00,2.50,20.25,6500,12.0,1.9,6.58
Noah Fant,TE,DEN,@OAK,-110,43.00,-2.50,22.75,4900,5.7,1.2,6.25
Demaryius Thomas,WR,NE,PIT,-110,49.00,-5.50,27.25,4700,6.8,1.5,6.05
Josh Hill,TE,NO,HOU,-105,52.50,-7.00,29.75,4000,3.0,0.8,5.92
Courtland Sutton,WR,DEN,@OAK,-110,43.00,-2.50,22.75,5900,9.0,1.5,5.28
Jalen Richard,RB,OAK,DEN,-110,43.00,2.50,20.25,5100,10.0,2.0,4.68
Phillip Dorsett,WR,NE,PIT,-110,49.00,-5.50,27.25,4900,6.3,1.3,4.60
