PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Alvin Kamara,RB,NO,HOU,-105,52.50,-7.00,29.75,8700,20.8,2.4,17.84
Michael Thomas,WR,NO,HOU,-105,52.50,-7.00,29.75,8500,16.1,1.9,13.65
DeAndre Hopkins,WR,HOU,@NO,-115,52.50,7.00,22.75,9000,16.1,1.8,13.55
Chris Carson,RB,SEA,CIN,-110,44.00,-9.50,26.75,6600,15.2,2.3,13.00
Saquon Barkley,RB,NYG,@DAL,-115,45.50,7.50,19.00,9200,21.3,2.3,12.45
JuJu Smith-Schuster,WR,PIT,@NE,-110,49.00,5.50,21.75,8100,15.8,2.0,11.72
Dalvin Cook,RB,MIN,ATL,-110,47.50,-4.00,25.75,7400,16.7,2.3,11.02
Mike Evans,WR,TB,SF,-110,51.00,-1.00,26.00,7900,16.0,2.0,10.93
Adam Thielen,WR,MIN,ATL,-110,47.50,-4.00,25.75,7400,14.7,2.0,10.55
Christian McCaffrey,RB,CAR,LAR,-110,50.00,2.00,24.00,8900,18.9,2.1,9.91
Odell Beckham,WR,CLE,TEN,-110,45.50,-5.50,25.50,8200,15.7,1.9,9.63
Leonard Fournette,RB,JAX,KC,100,51.50,3.00,24.25,7200,15.5,2.2,9.39
Julio Jones,WR,ATL,@MIN,-110,47.50,4.00,21.75,8500,15.9,1.9,9.22
James Conner,RB,PIT,@NE,-110,49.00,5.50,21.75,7700,15.8,2.1,9.06
Amari Cooper,WR,DAL,NYG,-105,45.50,-7.50,26.50,7500,14.1,1.9,8.95
Nick Chubb,RB,CLE,TEN,-110,45.50,-5.50,25.50,7400,17.4,2.3,8.89
Stefon Diggs,WR,MIN,ATL,-110,47.50,-4.00,25.75,7200,13.5,1.9,8.70
Deshaun Watson,QB,HOU,@NO,-115,52.50,7.00,22.75,8500,22.2,2.6,8.65
Tyreek Hill,WR,KC,@JAX,-120,51.50,-3.00,27.25,7600,15.4,2.0,7.46
Joe Mixon,RB,CIN,@SEA,-110,44.00,9.50,17.25,7800,14.9,1.9,7.07
Patrick Mahomes,QB,KC,@JAX,-120,51.50,-3.00,27.25,8700,24.3,2.8,6.96
Keenan Allen,WR,LAC,IND,-110,44.50,-6.50,25.50,7700,13.8,1.8,6.86
Drew Brees,QB,NO,HOU,-105,52.50,-7.00,29.75,8000,20.5,2.6,6.84
Tyler Lockett,WR,SEA,CIN,-110,44.00,-9.50,26.75,6800,11.2,1.7,6.76
Duke Johnson,RB,HOU,@NO,-115,52.50,7.00,22.75,6100,12.4,2.0,6.72
Todd Gurley,RB,LAR,@CAR,-110,50.00,-2.00,26.00,7600,16.0,2.1,6.64
Julian Edelman,WR,NE,PIT,-110,49.00,-5.50,27.25,7100,12.8,1.8,6.31
Derrick Henry,RB,TEN,@CLE,-110,45.50,5.50,20.00,6800,12.6,1.9,6.18
Brandin Cooks,WR,LAR,@CAR,-110,50.00,-2.00,26.00,7000,13.0,1.9,6.15
Tevin Coleman,RB,SF,@TB,-110,51.00,1.00,25.00,6300,12.2,1.9,6.15
