PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Alvin Kamara,RB,NO,HOU,-105,52.50,-7.00,29.75,8700,20.8,2.4,17.06
Michael Thomas,WR,NO,HOU,-105,52.50,-7.00,29.75,8500,16.1,1.9,12.79
DeAndre Hopkins,WR,HOU,@NO,-115,52.50,7.00,22.75,9000,16.1,1.8,12.69
Chris Carson,RB,SEA,CIN,-110,44.00,-9.50,26.75,6600,15.2,2.3,12.56
Saquon Barkley,RB,NYG,@DAL,-115,45.50,7.50,19.00,9200,21.3,2.3,11.91
JuJu Smith-Schuster,WR,PIT,@NE,-110,49.00,5.50,21.75,8100,15.8,2.0,11.31
Dalvin Cook,RB,MIN,ATL,-110,47.50,-4.00,25.75,7400,16.7,2.3,10.54
Mike Evans,WR,TB,SF,-110,51.00,-1.00,26.00,7900,16.0,2.0,10.23
Adam Thielen,WR,MIN,ATL,-110,47.50,-4.00,25.75,7400,14.7,2.0,9.88
Christian McCaffrey,RB,CAR,LAR,-110,50.00,2.00,24.00,8900,18.9,2.1,9.47
Odell Beckham,WR,CLE,TEN,-110,45.50,-5.50,25.50,8200,15.7,1.9,9.02
James Conner,RB,PIT,@NE,-110,49.00,5.50,21.75,7700,15.8,2.1,8.97
Leonard Fournette,RB,JAX,KC,100,51.50,3.00,24.25,7200,15.5,2.2,8.97
Julio Jones,WR,ATL,@MIN,-110,47.50,4.00,21.75,8500,15.9,1.9,8.63
Nick Chubb,RB,CLE,TEN,-110,45.50,-5.50,25.50,7400,17.4,2.3,8.49
Amari Cooper,WR,DAL,NYG,-105,45.50,-7.50,26.50,7500,14.1,1.9,8.38
Stefon Diggs,WR,MIN,ATL,-110,47.50,-4.00,25.75,7200,13.5,1.9,8.15
Deshaun Watson,QB,HOU,@NO,-115,52.50,7.00,22.75,8500,22.2,2.6,8.00
Tyreek Hill,WR,KC,@JAX,-120,51.50,-3.00,27.25,7600,15.4,2.0,6.98
Joe Mixon,RB,CIN,@SEA,-110,44.00,9.50,17.25,7800,14.9,1.9,6.76
Davante Adams,WR,GB,@CHI,100,46.50,3.00,21.75,8700,15.5,1.8,6.63
Patrick Mahomes,QB,KC,@JAX,-120,51.50,-3.00,27.25,8700,24.3,2.8,6.44
Keenan Allen,WR,LAC,IND,-110,44.50,-6.50,25.50,7700,13.8,1.8,6.43
Duke Johnson,RB,HOU,@NO,-115,52.50,7.00,22.75,6100,12.4,2.0,6.43
Drew Brees,QB,NO,HOU,-105,52.50,-7.00,29.75,8000,20.5,2.6,6.32
Tyler Lockett,WR,SEA,CIN,-110,44.00,-9.50,26.75,6800,11.2,1.7,6.32
Julian Edelman,WR,NE,PIT,-110,49.00,-5.50,27.25,7100,12.8,1.8,6.06
Derrick Henry,RB,TEN,@CLE,-110,45.50,5.50,20.00,6800,12.6,1.9,5.91
Tevin Coleman,RB,SF,@TB,-110,51.00,1.00,25.00,6300,12.2,1.9,5.88
Brandin Cooks,WR,LAR,@CAR,-110,50.00,-2.00,26.00,7000,13.0,1.9,5.76
Tyler Boyd,WR,CIN,@SEA,-110,44.00,9.50,17.25,6900,11.8,1.7,5.75
Austin Ekeler,RB,LAC,IND,-110,44.50,-6.50,25.50,6400,14.3,2.2,5.73
Ezekiel Elliott,RB,DAL,NYG,-105,45.50,-7.50,26.50,9100,13.7,1.5,5.73
Todd Gurley,RB,LAR,@CAR,-110,50.00,-2.00,26.00,7600,16.0,2.1,5.71
Robert Woods,WR,LAR,@CAR,-110,50.00,-2.00,26.00,7000,12.8,1.8,5.53
George Kittle,TE,SF,@TB,-110,51.00,1.00,25.00,7300,13.3,1.8,5.48
David Johnson,RB,ARI,DET,-105,46.50,2.50,22.00,8100,17.3,2.1,5.46
Chris Godwin,WR,TB,SF,-110,51.00,-1.00,26.00,6900,11.9,1.7,5.34
Jameis Winston,QB,TB,SF,-110,51.00,-1.00,26.00,7500,21.4,2.9,5.24
