"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.5","73.8","0.7","0.1","14.0"
"George Kittle","SF","5.5","75.2","0.5","0.1","13.1"
"Zach Ertz","PHI","6.1","56.0","0.6","0.1","12.0"
"Evan Engram","NYG","5.1","59.7","0.5","0.1","11.2"
"O.J. Howard","TB","4.0","53.6","0.6","0.1","10.7"
"Vance McDonald","PIT","4.2","46.3","0.5","0.1","9.5"
"Jared Cook","NO","3.7","44.3","0.5","0.0","9.4"
"David Njoku","CLE","3.7","41.4","0.5","0.0","8.7"
"Hunter Henry","LAC","4.3","48.7","0.2","0.0","8.4"
"Mark Andrews","BAL","3.1","39.0","0.4","0.0","8.1"
"Darren Waller","OAK","3.3","37.4","0.4","0.1","7.7"
"Delanie Walker","TEN","3.6","36.6","0.4","0.1","7.6"
"Eric Ebron","IND","3.2","32.5","0.4","0.0","7.5"
"Will Dissly","SEA","2.1","30.3","0.5","0.0","7.0"
"Austin Hooper","ATL","3.6","33.9","0.2","0.0","6.3"
"Jimmy Graham","GB","3.4","35.7","0.2","0.0","6.2"
"Vernon Davis","WAS","3.1","40.7","0.1","0.1","6.2"
"Kyle Rudolph","MIN","3.1","29.6","0.2","0.0","5.7"
"Tyler Eifert","CIN","2.9","33.6","0.1","0.0","5.6"
"Adam Shaheen","CHI","2.7","29.2","0.2","0.0","5.6"
"Greg Olsen","CAR","2.7","29.6","0.2","0.0","5.5"
"Noah Fant","DEN","2.5","31.1","0.2","0.1","5.3"
"T.J. Hockenson","DET","3.0","28.2","0.2","0.1","5.2"
"Geoff Swaim","JAC","3.0","27.0","0.2","0.0","5.2"
"Jack Doyle","IND","3.1","27.9","0.1","0.1","4.9"
"Dallas Goedert","PHI","2.1","20.8","0.3","0.0","4.9"
"Jason Witten","DAL","2.7","25.9","0.1","0.0","4.7"
"Mike Gesicki","MIA","2.3","25.1","0.1","0.1","4.1"
"Gerald Everett","LAR","2.0","22.2","0.1","0.0","4.1"
"Charles Clay","ARI","2.4","23.6","0.1","0.1","4.0"
"Cameron Brate","TB","2.0","18.4","0.2","0.1","3.9"
"Jeff Heuerman","DEN","1.7","17.6","0.2","0.0","3.6"
"Dawson Knox","BUF","1.6","18.8","0.1","0.0","3.3"
"Blake Jarwin","DAL","1.6","16.4","0.1","0.0","3.2"
"Ryan Griffin","NYJ","1.7","20.3","0.1","0.0","3.2"
"Nick Vannett","SEA","1.6","14.1","0.2","0.0","3.2"
"Foster Moreau","OAK","1.6","17.4","0.1","0.0","3.1"
"Tyler Higbee","LAR","1.4","16.3","0.1","0.0","3.1"
"Ryan Izzo","MIN","1.4","15.0","0.1","0.0","3.0"
"Irv Smith Jr.","MIN","1.7","16.2","0.1","0.1","3.0"
"Hayden Hurst","BAL","1.5","16.6","0.1","0.0","3.0"
"Ian Thomas","CAR","1.6","16.0","0.1","0.0","3.0"
"Jonnu Smith","TEN","1.3","14.8","0.1","0.0","2.8"
