"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","14.6","68.3","0.5","6.4","52.3","0.3","0.2","23.1"
"Alvin Kamara","NO","12.5","56.5","0.7","6.0","50.7","0.4","0.2","22.9"
"Saquon Barkley","NYG","17.0","76.6","0.6","6.2","44.1","0.2","0.2","22.5"
"Dalvin Cook","MIN","16.2","78.3","0.6","3.9","31.0","0.2","0.2","19.0"
"David Johnson","ARI","15.2","58.8","0.6","4.1","37.5","0.2","0.2","18.1"
"Nick Chubb","CLE","18.1","90.6","0.7","2.1","16.2","0.2","0.2","17.9"
"Leonard Fournette","JAC","18.0","72.4","0.7","3.5","28.3","0.1","0.2","17.8"
"Kerryon Johnson","DET","15.2","75.1","0.6","3.8","26.7","0.1","0.2","17.7"
"Le'Veon Bell","NYJ","17.7","75.1","0.6","3.6","28.8","0.1","0.2","17.6"
"Chris Carson","SEA","18.7","85.4","0.7","2.8","19.3","0.1","0.2","17.3"
"James Conner","PIT","15.0","65.9","0.6","3.7","30.5","0.1","0.2","17.2"
"Ezekiel Elliott","DAL","16.8","75.6","0.5","3.0","24.5","0.1","0.2","16.7"
"Todd Gurley","LAR","14.5","65.3","0.6","2.8","25.8","0.1","0.1","16.4"
"Austin Ekeler","LAC","10.5","49.6","0.4","4.2","32.6","0.2","0.1","16.3"
"Joe Mixon","CIN","15.8","72.1","0.5","3.2","25.6","0.1","0.2","16.3"
"Josh Jacobs","OAK","14.5","62.2","0.5","3.0","24.6","0.1","0.1","15.3"
"Devonta Freeman","ATL","14.1","60.2","0.5","3.0","24.7","0.1","0.1","14.9"
"Phillip Lindsay","DEN","12.5","62.0","0.5","2.7","21.6","0.1","0.1","14.6"
"Aaron Jones","GB","12.5","61.5","0.6","2.5","17.8","0.1","0.1","14.2"
"Mark Ingram","BAL","14.9","69.1","0.6","1.9","17.3","0.1","0.2","14.1"
"Damien Williams","KC","9.7","42.3","0.5","2.9","25.7","0.2","0.1","13.8"
"David Montgomery","CHI","14.0","61.0","0.5","1.8","18.8","0.1","0.2","13.2"
"Derrick Henry","TEN","16.3","73.3","0.7","1.0","9.5","0.0","0.1","13.2"
"Sony Michel","NE","18.0","77.6","0.6","1.1","7.5","0.0","0.2","13.2"
