"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Ezekiel Elliott","DAL","18.5","83.8","0.6","3.9","27.3","0.3","0.1","16.1"
"Christian McCaffrey","CAR","14.2","64.0","0.4","6.5","49.2","0.4","0.1","15.6"
"Alvin Kamara","NO","13.0","56.9","0.6","5.3","43.3","0.3","0.1","15.2"
"Saquon Barkley","NYG","16.7","73.8","0.4","5.6","42.0","0.2","0.2","15.2"
"Nick Chubb","CLE","17.9","80.1","0.6","2.4","19.1","0.2","0.1","14.2"
"Dalvin Cook","MIN","16.2","70.4","0.5","3.5","27.3","0.2","0.1","13.7"
"David Johnson","ARI","14.9","59.3","0.4","4.3","37.3","0.3","0.1","13.5"
"Le'Veon Bell","NYJ","16.8","71.1","0.4","3.7","27.2","0.1","0.1","13.2"
"Kerryon Johnson","DET","14.9","68.9","0.5","3.3","23.1","0.1","0.1","12.5"
"Chris Carson","SEA","16.1","71.1","0.5","2.5","19.3","0.1","0.1","12.4"
"James Conner","PIT","14.1","61.1","0.4","4.1","33.6","0.2","0.1","12.4"
"Leonard Fournette","JAC","14.9","58.1","0.5","3.3","25.5","0.2","0.1","12.1"
"Todd Gurley","LAR","12.9","57.0","0.5","2.5","23.1","0.2","0.1","12.1"
"Derrick Henry","TEN","16.5","75.3","0.5","1.1","8.3","0.1","0.0","11.8"
"Austin Ekeler","LAC","11.9","51.7","0.3","3.6","33.1","0.3","0.1","11.5"
"Joe Mixon","CIN","14.3","62.7","0.3","3.2","25.4","0.1","0.1","11.0"
"Duke Johnson","HOU","11.9","50.2","0.2","3.6","32.1","0.2","0.1","10.5"
"Sony Michel","NE","15.8","67.0","0.5","0.9","7.2","0.0","0.1","10.2"
"Mark Ingram","BAL","12.8","57.8","0.4","1.9","15.2","0.1","0.1","10.1"
"Josh Jacobs","OAK","13.2","54.9","0.4","2.7","19.4","0.1","0.1","10.1"
"David Montgomery","CHI","14.9","61.3","0.4","1.5","12.8","0.1","0.1","10.0"
"Phillip Lindsay","DEN","11.5","54.6","0.4","2.1","17.5","0.1","0.1","9.9"
"Marlon Mack","IND","14.7","64.3","0.4","1.5","9.9","0.0","0.1","9.9"
"Devonta Freeman","ATL","12.3","51.7","0.3","2.9","22.5","0.1","0.1","9.7"
"Aaron Jones","GB","11.3","51.4","0.3","2.4","18.3","0.1","0.1","9.3"
"Damien Williams","KC","9.2","39.3","0.3","2.8","23.6","0.3","0.1","9.2"
"Tevin Coleman","SF","10.4","45.1","0.3","1.6","13.4","0.2","0.1","8.5"
"Matt Breida","SF","10.0","44.3","0.2","2.1","17.3","0.1","0.1","8.3"
"James White","NE","4.7","19.2","0.2","4.1","35.3","0.3","0.1","8.0"
"Tarik Cohen","CHI","4.5","19.2","0.1","4.0","39.0","0.3","0.1","8.0"
