"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","5.2","67.7","0.6","0.1","10.4"
"George Kittle","SF","5.6","72.1","0.4","0.1","9.6"
"Zach Ertz","PHI","5.3","49.4","0.5","0.1","7.4"
"O.J. Howard","TB","3.6","48.7","0.4","0.0","7.1"
"Vance McDonald","PIT","4.0","44.8","0.4","0.0","6.8"
"Evan Engram","NYG","4.2","47.5","0.3","0.0","6.4"
"Hunter Henry","LAC","3.6","43.2","0.3","0.0","6.2"
"David Njoku","CLE","3.2","36.2","0.3","0.0","5.1"
"Jared Cook","NO","2.9","33.2","0.3","0.0","4.9"
"Trey Burton","CHI","3.0","31.0","0.3","0.0","4.7"
"Austin Hooper","ATL","3.6","30.5","0.3","0.0","4.6"
"Mark Andrews","BAL","2.3","33.3","0.2","0.0","4.6"
"Will Dissly","SEA","2.1","28.5","0.3","0.0","4.5"
"Jimmy Graham","GB","3.1","32.4","0.2","0.0","4.3"
"Greg Olsen","CAR","2.7","27.0","0.3","0.0","4.2"
"Kyle Rudolph","MIN","2.9","25.8","0.2","0.0","4.0"
"Delanie Walker","TEN","2.8","27.9","0.2","0.0","3.7"
"Noah Fant","DEN","2.3","27.9","0.1","0.0","3.7"
"Jordan Reed","WAS","3.2","28.4","0.1","0.0","3.6"
"Eric Ebron","IND","2.5","23.1","0.2","0.0","3.6"
"Matt LaCosse","NE","2.3","22.7","0.2","0.0","3.5"
"T.J. Hockenson","DET","2.4","23.5","0.2","0.0","3.5"
"Darren Waller","OAK","2.4","25.5","0.1","0.0","3.4"
"Tyler Eifert","CIN","2.5","25.4","0.1","0.0","3.4"
"Vernon Davis","WAS","1.9","25.5","0.1","0.0","3.2"
"Jason Witten","DAL","2.3","21.8","0.2","0.0","3.1"
"Gerald Everett","LAR","2.0","19.3","0.2","0.0","3.1"
"Dallas Goedert","PHI","1.9","18.6","0.2","0.0","3.0"
"Josh Oliver","JAC","1.8","17.0","0.2","0.0","2.9"
"Mike Gesicki","MIA","2.2","23.3","0.1","0.0","2.8"
"Charles Clay","ARI","2.0","19.1","0.1","0.0","2.7"
"Nick Vannett","SEA","1.7","15.2","0.2","0.0","2.6"
"Blake Jarwin","DAL","1.6","15.4","0.2","0.0","2.4"
"Dawson Knox","BUF","1.5","18.0","0.1","0.0","2.4"
"Cameron Brate","TB","1.5","13.4","0.2","0.0","2.4"
"Jonnu Smith","TEN","1.3","15.1","0.1","0.0","2.4"
"Jeff Heuerman","DEN","1.5","14.9","0.1","0.0","2.3"
"Jack Doyle","IND","2.1","16.2","0.1","0.0","2.3"
"Drew Sample","CIN","1.6","17.0","0.1","0.0","2.3"
"Tyler Higbee","LAR","1.2","13.0","0.1","0.0","2.2"
"Geoff Swaim","JAC","1.4","11.9","0.1","0.0","2.0"
"Foster Moreau","OAK","1.4","13.0","0.1","0.0","1.9"
"Jesse James","DET","1.3","13.0","0.1","0.0","1.8"
"Ian Thomas","CAR","1.4","12.6","0.1","0.0","1.8"
"Zach Gentry","PIT","1.2","12.0","0.1","0.0","1.8"
