"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"DeAndre Hopkins","HOU","6.2","82.0","0.5","0.0","0.0","0.0","0.1","11.2"
"Davante Adams","GB","6.8","80.1","0.6","0.0","0.0","0.0","0.1","11.2"
"Julio Jones","ATL","6.4","87.3","0.4","0.1","0.7","0.0","0.1","11.0"
"JuJu Smith-Schuster","PIT","7.0","81.5","0.5","0.1","0.6","0.0","0.1","10.8"
"Tyreek Hill","KC","4.7","72.9","0.5","0.6","3.2","0.0","0.0","10.6"
"Michael Thomas","NO","7.1","74.2","0.5","0.0","0.0","0.0","0.1","10.4"
"Odell Beckham Jr.","CLE","5.2","68.0","0.6","0.3","1.9","0.0","0.1","10.3"
"Mike Evans","TB","5.3","72.7","0.5","0.0","0.0","0.0","0.0","10.0"
"Antonio Brown","OAK","5.8","67.3","0.5","0.1","0.5","0.0","0.1","9.6"
"Keenan Allen","LAC","5.8","65.8","0.4","0.3","2.3","0.0","0.1","9.2"
"Adam Thielen","MIN","5.5","62.5","0.5","0.3","2.2","0.0","0.1","9.1"
"Amari Cooper","DAL","4.6","61.4","0.5","0.2","1.1","0.0","0.0","9.1"
"Stefon Diggs","MIN","5.5","57.2","0.5","0.5","3.3","0.0","0.1","9.0"
"Tyler Lockett","SEA","4.1","55.7","0.5","0.6","3.3","0.0","0.0","9.0"
"Robert Woods","LAR","4.8","64.7","0.4","0.7","4.9","0.0","0.1","8.9"
"Brandin Cooks","LAR","4.6","65.0","0.3","0.5","3.2","0.0","0.0","8.8"
"Julian Edelman","NE","5.2","57.4","0.5","0.5","3.5","0.0","0.1","8.7"
"Kenny Golladay","DET","4.6","60.7","0.4","0.1","0.5","0.0","0.0","8.6"
"Tyler Boyd","CIN","5.0","65.4","0.3","0.1","0.5","0.0","0.0","8.2"
"Chris Godwin","TB","4.8","57.7","0.4","0.0","0.0","0.0","0.0","8.1"
"D.J. Moore","CAR","4.3","58.0","0.3","0.9","7.2","0.0","0.1","8.0"
"Christian Kirk","ARI","4.4","57.8","0.3","0.3","1.3","0.0","0.0","7.8"
"Sammy Watkins","KC","3.6","50.4","0.4","0.3","1.5","0.0","0.0","7.7"
"Josh Gordon","NE","3.3","55.2","0.3","0.0","0.0","0.0","0.0","7.6"
"Mike Williams","LAC","3.3","47.3","0.4","0.3","1.9","0.0","0.0","7.5"
"T.Y. Hilton","IND","4.3","59.7","0.2","0.0","0.1","0.0","0.0","7.3"
"Calvin Ridley","ATL","3.9","47.5","0.4","0.3","1.6","0.0","0.0","7.3"
"Cooper Kupp","LAR","3.6","48.2","0.4","0.2","1.4","0.0","0.0","7.2"
"Dede Westbrook","JAC","4.8","49.3","0.4","0.4","2.6","0.0","0.1","7.2"
"Corey Davis","TEN","4.4","53.1","0.3","0.3","1.9","0.0","0.0","7.2"
"Allen Robinson","CHI","3.6","48.9","0.4","0.0","0.2","0.0","0.0","7.1"
"Sterling Shepard","NYG","4.4","53.6","0.3","0.2","1.3","0.0","0.0","7.0"
"Robby Anderson","NYJ","3.3","47.4","0.4","0.2","1.4","0.0","0.0","7.0"
"Alshon Jeffery","PHI","3.7","45.1","0.4","0.0","0.0","0.0","0.0","6.9"
"Will Fuller","HOU","3.1","48.5","0.3","0.2","1.0","0.0","0.0","6.8"
"Dante Pettis","SF","3.3","43.7","0.4","0.1","0.7","0.0","0.0","6.8"
"Larry Fitzgerald","ARI","4.6","47.1","0.3","0.1","0.5","0.0","0.1","6.6"
"Marvin Jones","DET","3.4","43.0","0.4","0.0","0.0","0.0","0.0","6.6"
"Jarvis Landry","CLE","4.3","48.7","0.3","0.2","1.3","0.0","0.0","6.5"
"Emmanuel Sanders","DEN","3.9","47.0","0.3","0.3","1.8","0.0","0.0","6.5"
"Geronimo Allison","GB","3.5","48.4","0.3","0.1","0.5","0.0","0.0","6.5"
"Donte Moncrief","PIT","3.7","48.3","0.3","0.0","0.0","0.0","0.0","6.3"
"DeSean Jackson","PHI","2.5","44.1","0.3","0.2","1.5","0.0","0.0","6.3"
"Curtis Samuel","CAR","3.5","40.2","0.3","0.3","2.4","0.0","0.0","6.3"
"Jamison Crowder","NYJ","3.5","44.6","0.3","0.1","0.8","0.0","0.0","6.2"
"Albert Wilson","MIA","3.2","44.3","0.2","0.6","3.7","0.0","0.0","6.2"
"Courtland Sutton","DEN","3.0","44.1","0.2","0.0","0.1","0.0","0.0","5.8"
"Mohamed Sanu","ATL","3.5","41.5","0.2","0.3","1.6","0.0","0.0","5.5"
"Michael Gallup","DAL","2.9","40.6","0.2","0.0","0.0","0.0","0.0","5.5"
"Zay Jones","BUF","3.1","36.6","0.3","0.3","2.0","0.0","0.0","5.4"
"Ted Ginn","NO","2.6","35.6","0.3","0.3","2.0","0.0","0.0","5.4"
"Taylor Gabriel","CHI","3.3","35.9","0.2","0.6","3.7","0.0","0.0","5.3"
"Quincy Enunwa","NYJ","3.3","41.0","0.2","0.0","0.2","0.0","0.0","5.1"
"Cole Beasley","BUF","3.7","37.0","0.2","0.1","0.5","0.0","0.0","5.0"
"John Brown","BUF","2.4","38.5","0.2","0.2","1.1","0.0","0.0","4.9"
"Paul Richardson","WAS","3.1","35.4","0.2","0.1","0.7","0.0","0.0","4.8"
"Tyrell Williams","OAK","2.6","35.0","0.2","0.2","1.2","0.0","0.0","4.8"
"Anthony Miller","CHI","2.2","29.9","0.2","0.3","2.1","0.0","0.0","4.7"
"Robert Foster","BUF","1.9","38.0","0.1","0.1","0.5","0.0","0.0","4.6"
"Devante Parker","MIA","2.9","38.8","0.1","0.0","0.0","0.0","0.0","4.6"
"Marquez Valdes-Scantling","GB","2.5","35.3","0.2","0.1","0.7","0.0","0.0","4.6"
"Tre'Quan Smith","NO","2.2","30.8","0.3","0.0","0.0","0.0","0.0","4.6"
"Danny Amendola","DET","4.0","33.7","0.2","0.0","0.1","0.0","0.0","4.5"
"Deebo Samuel","SF","2.8","30.4","0.2","0.0","0.0","0.0","0.0","4.5"
"Marquise Goodwin","SF","2.1","28.1","0.3","0.2","1.1","0.0","0.0","4.5"
"Adam Humphries","TEN","3.2","32.6","0.2","0.2","1.0","0.0","0.0","4.4"
"Marquise Brown","BAL","2.3","30.8","0.2","0.2","1.0","0.0","0.0","4.4"
"Randall Cobb","DAL","2.8","29.6","0.2","0.2","1.5","0.0","0.0","4.4"
"Willie Snead","BAL","2.9","33.7","0.2","0.1","0.5","0.0","0.0","4.4"
"James Washington","PIT","2.3","32.5","0.2","0.1","0.5","0.0","0.0","4.4"
"Marqise Lee","JAC","2.6","30.8","0.2","0.3","1.5","0.0","0.0","4.3"
"Keke Coutee","HOU","2.8","31.6","0.1","0.5","2.7","0.0","0.0","4.3"
"John Ross","CIN","2.4","28.5","0.2","0.2","1.5","0.0","0.0","4.2"
"DaeSean Hamilton","DEN","2.6","27.9","0.2","0.0","0.2","0.0","0.0","3.9"
"Kenny Stills","HOU","1.8","26.4","0.2","0.0","0.0","0.0","0.0","3.8"
"Chris Conley","JAC","2.4","23.3","0.2","0.0","0.0","0.0","0.0","3.8"
"Nelson Agholor","PHI","2.1","24.9","0.2","0.2","1.4","0.0","0.0","3.8"
"Breshad Perriman","TB","1.7","27.2","0.2","0.3","1.6","0.0","0.0","3.8"
"D.J. Chark","JAC","2.4","26.2","0.2","0.0","0.0","0.0","0.0","3.6"
"Michael Crabtree","ARI","2.5","25.7","0.2","0.1","0.5","0.0","0.0","3.6"
"Miles Boykin","BAL","2.0","27.0","0.2","0.0","0.0","0.0","0.0","3.6"
"Trey Quinn","WAS","2.5","24.9","0.2","0.0","0.1","0.0","0.0","3.6"
"Terry McLaurin","WAS","2.2","26.1","0.1","0.2","1.0","0.0","0.0","3.5"
"Devin Funchess","IND","2.3","24.8","0.1","0.0","0.0","0.0","0.0","3.3"
"Jakeem Grant","MIA","1.9","24.6","0.1","0.5","2.6","0.0","0.0","3.3"
