Name,Games,Points,Pts/G,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,Opp,Opp QB This Week
49ers,16,326.66,20.4,344,542,3959,35,2,60,163,0,@TB,Jameis Winston
Bears,16,239.42,15.0,375,613,3798,21,27,30,185,1,GB,Aaron Rodgers
Bengals,16,368.26,23.0,388,583,4524,32,12,82,333,3,@SEA,Russell Wilson
Bills,16,212.14,13.3,312,490,3081,21,16,56,156,0,@NYJ,Sam Darnold
Broncos,16,277.72,17.4,352,547,4238,25,17,47,92,1,@OAK,Derek Carr
Browns,16,318.10,19.9,393,626,4370,21,17,75,323,5,TEN,Marcus Mariota
Buccaneers,16,367.22,23.0,386,533,4378,33,9,72,301,2,SF,Jimmy Garoppolo
Cardinals,16,258.28,16.1,341,505,3567,20,7,52,157,4,DET,Matthew Stafford
Chargers,16,261.06,16.3,350,547,3874,23,13,62,241,0,IND,Jacoby Brissett
Chiefs,16,358.74,22.4,406,632,4721,30,15,42,219,4,@JAX,Gardner Minshew
Colts,16,285.66,17.9,383,541,4029,21,15,47,182,4,@LAC,Philip Rivers
Cowboys,16,285.06,17.8,367,542,3984,22,9,72,247,2,NYG,Eli Manning
Dolphins,16,339.34,21.2,335,507,4141,31,21,65,383,2,BAL,Lamar Jackson
Eagles,16,331.98,20.7,416,624,4612,22,10,62,265,4,WAS,Case Keenum
Falcons,16,377.08,23.6,396,582,4372,33,14,70,387,4,@MIN,Kirk Cousins
Giants,16,306.28,19.1,360,558,4222,23,16,74,308,2,@DAL,Dak Prescott
Jaguars,16,273.66,17.1,312,499,3354,17,11,92,471,5,KC,Patrick Mahomes
Jets,16,343.02,21.4,366,580,4343,29,13,62,353,3,BUF,Josh Allen
Lions,16,299.26,18.7,322,495,3889,29,7,48,119,2,@ARI,Kyler Murray
Packers,16,304.18,19.0,333,524,4017,29,7,58,186,1,@CHI,Mitchell Trubisky
Panthers,16,328.70,20.5,352,526,4005,31,13,59,242,3,LAR,Jared Goff
Patriots,16,311.80,19.5,369,604,4160,29,18,44,303,1,PIT,Ben Roethlisberger
Raiders,16,322.04,20.1,298,479,3881,35,14,63,258,2,DEN,Joe Flacco
Rams,16,305.46,19.1,346,531,4074,30,18,46,275,0,@CAR,Cam Newton
Ravens,16,257.54,16.1,337,575,3651,21,12,45,195,2,@MIA,Ryan Fitzpatrick
Redskins,16,314.74,19.7,362,535,4091,27,15,66,250,3,@PHI,Carson Wentz
Saints,16,370.02,23.1,383,572,4573,29,12,61,291,5,HOU,Deshaun Watson
Seahawks,16,289.72,18.1,355,546,4103,26,12,41,216,0,CIN,Andy Dalton
Steelers,16,304.06,19.0,362,566,4044,27,8,42,200,1,@NE,Tom Brady
Texans,16,304.10,19.0,382,591,4375,26,15,58,271,0,@NO,Drew Brees
Titans,16,266.72,16.7,336,529,3713,21,11,58,266,2,@CLE,Baker Mayfield
Vikings,16,246.34,15.4,315,502,3501,15,12,60,248,3,ATL,Matt Ryan
