,,Fantasy,,Passing,,,,,Rushing,,,This Week,
Name,Games,Points,Pts/G,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,Opp,Opp QB This Week
49ers,16,312.66,19.5,344,542,3959,35,2,60,163,0,@TB,Jameis Winston
Bears,16,233.42,14.6,375,613,3798,21,27,30,185,1,GB,Aaron Rodgers
Bengals,16,346.26,21.6,388,583,4524,32,12,82,333,3,@SEA,Russell Wilson
Bills,16,203.64,12.7,312,490,3081,21,16,56,156,0,@NYJ,Sam Darnold
Broncos,16,257.72,16.1,352,547,4238,25,17,47,92,1,@OAK,Derek Carr
Browns,16,298.10,18.6,393,626,4370,21,17,75,323,5,TEN,Marcus Mariota
Buccaneers,16,342.72,21.4,386,533,4378,33,9,72,301,2,SF,Jimmy Garoppolo
Cardinals,16,245.78,15.4,341,505,3567,20,7,52,157,4,DET,Matthew Stafford
Chargers,16,256.06,16.0,350,547,3874,23,13,62,241,0,IND,Jacoby Brissett
Chiefs,16,333.74,20.9,406,632,4721,30,15,42,219,4,@JAX,Gardner Minshew
Colts,16,270.66,16.9,383,541,4029,21,15,47,182,4,@LAC,Philip Rivers
Cowboys,16,263.06,16.4,367,542,3984,22,9,72,247,2,NYG,Eli Manning
Dolphins,16,319.84,20.0,335,507,4141,31,21,65,383,2,BAL,Lamar Jackson
Eagles,16,306.98,19.2,416,624,4612,22,10,62,265,4,WAS,Case Keenum
Falcons,16,353.58,22.1,396,582,4372,33,14,70,387,4,@MIN,Kirk Cousins
Giants,16,293.78,18.4,360,558,4222,23,16,74,308,2,@DAL,Dak Prescott
Jaguars,16,265.16,16.6,312,499,3354,17,11,92,471,5,KC,Patrick Mahomes
Jets,16,326.02,20.4,366,580,4343,29,13,62,353,3,BUF,Josh Allen
Lions,16,285.76,17.9,322,495,3889,29,7,48,119,2,@ARI,Kyler Murray
Packers,16,291.68,18.2,333,524,4017,29,7,58,186,1,@CHI,Mitchell Trubisky
Panthers,16,310.20,19.4,352,526,4005,31,13,59,242,3,LAR,Jared Goff
Patriots,16,295.30,18.5,369,604,4160,29,18,44,303,1,PIT,Ben Roethlisberger
Raiders,16,317.04,19.8,298,479,3881,35,14,63,258,2,DEN,Joe Flacco
Rams,16,284.46,17.8,346,531,4074,30,18,46,275,0,@CAR,Cam Newton
Ravens,16,245.54,15.3,337,575,3651,21,12,45,195,2,@MIA,Ryan Fitzpatrick
Redskins,16,294.24,18.4,362,535,4091,27,15,66,250,3,@PHI,Carson Wentz
Saints,16,348.02,21.8,383,572,4573,29,12,61,291,5,HOU,Deshaun Watson
Seahawks,16,265.72,16.6,355,546,4103,26,12,41,216,0,CIN,Andy Dalton
Steelers,16,285.56,17.8,362,566,4044,27,8,42,200,1,@NE,Tom Brady
Texans,16,285.10,17.8,382,591,4375,26,15,58,271,0,@NO,Drew Brees
Titans,16,253.22,15.8,336,529,3713,21,11,58,266,2,@CLE,Baker Mayfield
Vikings,16,233.84,14.6,315,502,3501,15,12,60,248,3,ATL,Matt Ryan
