,,Fantasy,,Receiving,,,,,Rushing,,,This Week,
Name,Games,Points,Pts/G,REC,YDS,TD,TAR,Catch %,ATT,YDS,TD,Opp,Opp TEs This Week
49ers,16,120.10,7.5,58,631,5,86,67.4,0,0,0,@TB,"O.J. Howard, Cameron Brate"
Bears,16,126.60,7.9,69,641,5,109,63.3,0,0,0,GB,"Jimmy Graham, Marcedes Lewis"
Bengals,16,201.40,12.6,84,986,10,113,74.3,2,28,0,@SEA,"Will Dissly, Nick Vannett"
Bills,16,99.70,6.2,49,512,4,88,55.7,0,0,0,@NYJ,"Ryan Griffin, Daniel Brown"
Broncos,16,173.50,10.8,72,1035,6,113,63.7,0,0,0,@OAK,"Darren Waller, Foster Moreau"
Browns,16,190.80,11.9,100,1008,7,144,69.4,1,0,0,TEN,"Delanie Walker, Jonnu Smith"
Buccaneers,16,179.10,11.2,84,1061,5,115,73.0,1,10,0,SF,"George Kittle, Ross Dwelley"
Cardinals,16,110.40,6.9,60,599,3,84,71.4,3,25,0,DET,"Jesse James, T.J. Hockenson"
Chargers,16,141.40,8.8,74,744,5,121,61.2,0,0,0,IND,"Eric Ebron, Jack Doyle"
Chiefs,16,210.20,13.1,87,1067,10,123,70.7,0,0,0,@JAX,"Geoff Swaim, James O'Shaughnessy"
Colts,16,197.50,12.3,103,1194,5,129,79.8,2,26,0,@LAC,"Hunter Henry, Virgil Green"
Cowboys,16,177.50,11.1,88,918,7,122,72.1,1,-3,0,NYG,"Evan Engram, Rhett Ellison"
Dolphins,16,169.40,10.6,70,804,9,94,74.5,0,0,0,BAL,"Mark Andrews, Nick Boyle"
Eagles,16,115.20,7.2,67,697,2,97,69.1,0,0,0,WAS,"Vernon Davis, Jeremy Sprinkle"
Falcons,16,139.40,8.7,69,739,5,104,66.3,1,10,0,@MIN,"Kyle Rudolph, Irv Smith Jr."
Giants,16,172.40,10.8,81,959,6,119,68.1,0,0,0,@DAL,"Jason Witten, Blake Jarwin"
Jaguars,16,155.10,9.7,67,703,8,102,65.7,2,-7,1,KC,"Travis Kelce, Blake Bell"
Jets,16,108.70,6.8,47,547,5,75,62.7,1,-1,0,BUF,"Dawson Knox, Lee Smith"
Lions,16,146.60,9.2,64,746,7,93,68.8,0,0,0,@ARI,"Charles Clay, Maxx Williams"
Packers,16,135.10,8.4,67,776,4,93,72.0,0,0,0,@CHI,"Adam Shaheen, Ben Braunecker"
Panthers,16,185.30,11.6,80,913,9,111,72.1,0,0,0,LAR,"Tyler Higbee, Gerald Everett"
Patriots,16,164.70,10.3,71,832,8,116,61.2,0,0,0,PIT,"Vance McDonald, Xavier Grimble"
Raiders,16,195.50,12.2,75,1060,9,103,72.8,0,0,0,DEN,"Jeff Heuerman, Noah Fant"
Rams,16,184.20,11.5,81,1077,6,132,61.4,0,0,0,@CAR,"Greg Olsen, Ian Thomas"
Ravens,16,170.00,10.6,83,965,6,117,70.9,0,0,0,@MIA,"Mike Gesicki, Durham Smythe"
Redskins,16,128.40,8.0,69,699,4,105,65.7,0,0,0,@PHI,"Zach Ertz, Dallas Goedert"
Saints,16,120.20,7.5,55,626,5,94,58.5,1,1,0,HOU,"Darren Fells, Jordan Akins"
Seahawks,16,129.40,8.1,59,697,5,93,63.4,1,2,0,CIN,"C.J. Uzomah, Tyler Eifert"
Steelers,16,170.20,10.6,79,887,7,115,68.7,0,0,0,@NE,"Matt LaCosse, Ryan Izzo"
Texans,16,206.80,12.9,94,1078,9,128,73.4,1,0,0,@NO,"Jared Cook, Josh Hill"
Titans,16,109.60,6.9,66,646,2,101,65.3,1,0,0,@CLE,"David Njoku, Demetrius Harris"
Vikings,16,121.60,7.6,63,721,3,91,69.2,0,0,0,ATL,"Austin Hooper, Luke Stocker"
