PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Christian McCaffrey,RB,CAR,TB,100,49.00,-7.00,28.00,9400,24.3,2.6,16.59
Julio Jones,WR,ATL,PHI,-110,52.50,1.50,25.50,7300,24.1,3.3,12.50
Alvin Kamara,RB,NO,@LAR,-110,52.00,2.00,25.00,8200,21.3,2.6,10.98
Michael Thomas,WR,NO,@LAR,-110,52.00,2.00,25.00,8000,19.6,2.4,10.98
JuJu Smith-Schuster,WR,PIT,SEA,-110,47.00,-4.00,25.50,7500,19.4,2.6,9.55
D.J. Moore,WR,CAR,TB,100,49.00,-7.00,28.00,5900,15.9,2.7,9.54
Josh Jacobs,RB,OAK,KC,-115,53.50,7.00,23.25,4700,15.5,3.3,9.12
DeAndre Hopkins,WR,HOU,JAX,-110,43.50,-9.00,26.25,8100,19.1,2.4,8.56
Sammy Watkins,WR,KC,@OAK,-105,53.50,-7.00,30.25,7200,18.5,2.6,8.43
Mike Evans,WR,TB,@CAR,-120,49.00,7.00,21.00,7000,16.5,2.4,8.27
Lamar Jackson,QB,BAL,ARI,-105,46.00,-13.00,29.50,6700,22.2,3.3,7.45
Matt Breida,RB,SF,@CIN,-110,45.50,2.00,21.75,5200,14.9,2.9,7.42
Mark Ingram,RB,BAL,ARI,-105,46.00,-13.00,29.50,6000,13.7,2.3,7.39
Keenan Allen,WR,LAC,@DET,-110,47.50,-2.50,25.00,7600,19.9,2.6,7.35
Tyrell Williams,WR,OAK,KC,-115,53.50,7.00,23.25,4400,13.8,3.1,7.03
Brandin Cooks,WR,LAR,NO,-110,52.00,-2.00,27.00,6300,15.2,2.4,6.56
Devonta Freeman,RB,ATL,PHI,-110,52.50,1.50,25.50,5000,14.7,3.0,6.56
Adam Thielen,WR,MIN,@GB,-115,44.00,3.00,20.50,7100,17.4,2.5,6.43
Robert Woods,WR,LAR,NO,-110,52.00,-2.00,27.00,6400,15.1,2.4,6.40
Patrick Mahomes,QB,KC,@OAK,-105,53.50,-7.00,30.25,7500,29.1,3.9,6.37
James Conner,RB,PIT,SEA,-110,47.00,-4.00,25.50,6800,17.1,2.5,6.36
Chris Godwin,WR,TB,@CAR,-120,49.00,7.00,21.00,6500,14.2,2.2,6.26
Cam Newton,QB,CAR,TB,100,49.00,-7.00,28.00,6300,21.7,3.5,6.25
Ezekiel Elliott,RB,DAL,@WAS,-110,46.50,-5.50,26.00,8700,21.7,2.5,6.08
LeSean McCoy,RB,KC,@OAK,-105,53.50,-7.00,30.25,4700,14.0,3.0,6.03
Leonard Fournette,RB,JAX,@HOU,-110,43.50,9.00,17.25,6300,16.3,2.6,6.02
Travis Kelce,TE,KC,@OAK,-105,53.50,-7.00,30.25,7300,20.7,2.8,5.99
Odell Beckham,WR,CLE,@NYJ,-110,44.00,-6.50,25.25,7800,19.0,2.4,5.97
Calvin Ridley,WR,ATL,PHI,-110,52.50,1.50,25.50,5000,13.9,2.8,5.96
Curtis Samuel,WR,CAR,TB,100,49.00,-7.00,28.00,4800,11.9,2.5,5.84
Chris Carson,RB,SEA,@PIT,-110,47.00,4.00,21.50,6400,17.1,2.7,5.83
Larry Fitzgerald,WR,ARI,@BAL,-115,46.00,13.00,16.50,4600,13.1,2.8,5.67
Dalvin Cook,RB,MIN,@GB,-115,44.00,3.00,20.50,7200,18.3,2.5,5.66
Deshaun Watson,QB,HOU,JAX,-110,43.50,-9.00,26.25,6600,22.6,3.4,5.61
Davante Adams,WR,GB,MIN,-105,44.00,-3.00,23.50,7700,17.9,2.3,5.59
Saquon Barkley,RB,NYG,BUF,-110,44.00,1.50,21.25,9200,24.7,2.7,5.46
Amari Cooper,WR,DAL,@WAS,-110,46.50,-5.50,26.00,7400,18.3,2.5,5.43
Duke Johnson,RB,HOU,JAX,-110,43.50,-9.00,26.25,5000,14.6,2.9,5.36
Cooper Kupp,WR,LAR,NO,-110,52.00,-2.00,27.00,6000,13.6,2.3,5.24
David Johnson,RB,ARI,@BAL,-115,46.00,13.00,16.50,7100,16.9,2.4,5.19
Alshon Jeffery,WR,PHI,@ATL,-110,52.50,-1.50,27.00,6400,13.6,2.1,5.18
Carson Wentz,QB,PHI,@ATL,-110,52.50,-1.50,27.00,6400,25.2,3.9,5.16
Todd Gurley,RB,LAR,NO,-110,52.00,-2.00,27.00,7000,15.4,2.2,5.16
Le'Veon Bell,RB,NYJ,CLE,-110,44.00,6.50,18.75,7600,19.0,2.5,5.14
Austin Ekeler,RB,LAC,@DET,-110,47.50,-2.50,25.00,6100,17.4,2.8,5.06
Matt Ryan,QB,ATL,PHI,-110,52.50,1.50,25.50,6100,24.6,4.0,5.01
Jared Goff,QB,LAR,NO,-110,52.00,-2.00,27.00,5900,23.5,4.0,4.99
Jalen Richard,RB,OAK,KC,-115,53.50,7.00,23.25,3300,9.9,3.0,4.95
Marquise Brown,WR,BAL,ARI,-105,46.00,-13.00,29.50,5000,10.4,2.1,4.90
Joe Mixon,RB,CIN,SF,-110,45.50,-2.00,23.75,6500,16.6,2.6,4.80
T.Y. Hilton,WR,IND,@TEN,100,43.50,3.00,20.25,6800,15.7,2.3,4.74
Dede Westbrook,WR,JAX,@HOU,-110,43.50,9.00,17.25,5400,13.3,2.5,4.70
Jameis Winston,QB,TB,@CAR,-120,49.00,7.00,21.00,5900,19.4,3.3,4.60
Stefon Diggs,WR,MIN,@GB,-115,44.00,3.00,20.50,6300,14.7,2.3,4.58
Jaylen Samuels,RB,PIT,SEA,-110,47.00,-4.00,25.50,3600,10.8,3.0,4.52
Tyler Boyd,WR,CIN,SF,-110,45.50,-2.00,23.75,6500,14.6,2.3,4.45
Russell Wilson,QB,SEA,@PIT,-110,47.00,4.00,21.50,6200,21.0,3.4,4.42
Zach Ertz,TE,PHI,@ATL,-110,52.50,-1.50,27.00,6300,15.1,2.4,4.41
Ben Roethlisberger,QB,PIT,SEA,-110,47.00,-4.00,25.50,5800,23.7,4.1,4.37
Latavius Murray,RB,NO,@LAR,-110,52.00,2.00,25.00,3700,10.0,2.7,4.37
Justice Hill,RB,BAL,ARI,-105,46.00,-13.00,29.50,3300,7.8,2.4,4.31
Kerryon Johnson,RB,DET,LAC,-110,47.50,2.50,22.50,5700,15.9,2.8,4.24
Tre'Quan Smith,WR,NO,@LAR,-110,52.00,2.00,25.00,3700,9.8,2.7,4.20
Damien Williams,RB,KC,@OAK,-105,53.50,-7.00,30.25,5800,13.4,2.3,4.14
Nick Chubb,RB,CLE,@NYJ,-110,44.00,-6.50,25.25,6200,16.8,2.7,4.13
DeSean Jackson,WR,PHI,@ATL,-110,52.50,-1.50,27.00,5900,11.8,2.0,4.05
Drew Brees,QB,NO,@LAR,-110,52.00,2.00,25.00,6200,19.6,3.2,4.04
Darren Waller,TE,OAK,KC,-115,53.50,7.00,23.25,3300,11.3,3.4,4.03
Kyler Murray,QB,ARI,@BAL,-115,46.00,13.00,16.50,5400,17.4,3.2,4.02
James White,RB,NE,@MIA,-110,48.50,-18.50,33.50,5100,15.8,3.1,4.02
Julian Edelman,WR,NE,@MIA,-110,48.50,-18.50,33.50,6900,17.5,2.5,3.96
Tyler Lockett,WR,SEA,@PIT,-110,47.00,4.00,21.50,6200,13.5,2.2,3.94
Greg Olsen,TE,CAR,TB,100,49.00,-7.00,28.00,3300,9.7,2.9,3.80
Kenny Golladay,WR,DET,LAC,-110,47.50,2.50,22.50,6600,14.6,2.2,3.77
Corey Davis,WR,TEN,IND,-120,43.50,-3.00,23.25,4500,12.4,2.8,3.73
Darren Sproles,RB,PHI,@ATL,-110,52.50,-1.50,27.00,3700,9.3,2.5,3.70
