"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.3","91.1","0.8","0.1","19.8"
"George Kittle","SF","5.9","80.4","0.5","0.1","16.9"
"Evan Engram","NYG","5.8","65.9","0.6","0.1","15.7"
"Zach Ertz","PHI","6.3","60.0","0.6","0.1","15.5"
"Darren Waller","OAK","5.8","62.9","0.5","0.1","15.1"
"O.J. Howard","TB","4.3","56.1","0.6","0.1","13.0"
"Delanie Walker","TEN","4.7","47.6","0.5","0.1","12.6"
"T.J. Hockenson","DET","4.3","48.2","0.5","0.1","12.0"
"Austin Hooper","ATL","4.7","43.5","0.4","0.0","11.7"
"Mark Andrews","BAL","3.8","47.1","0.5","0.0","11.4"
"Vance McDonald","PIT","3.6","41.6","0.5","0.1","10.4"
"Jared Cook","NO","3.3","43.6","0.4","0.0","10.3"
"David Njoku","CLE","3.7","42.9","0.3","0.0","9.5"
"Jimmy Graham","GB","3.6","38.3","0.2","0.0","8.6"
"Greg Olsen","CAR","3.4","34.4","0.3","0.0","8.5"
"Tyler Eifert","CIN","3.2","33.9","0.2","0.0","7.6"
"Eric Ebron","IND","2.9","28.9","0.2","0.0","7.0"
"Noah Fant","DEN","3.0","31.9","0.1","0.1","6.9"
"Vernon Davis","WAS","2.5","33.6","0.2","0.0","6.9"
"Kyle Rudolph","MIN","3.1","28.7","0.2","0.0","6.8"
"Jason Witten","DAL","2.7","25.3","0.1","0.0","6.1"
"Dallas Goedert","PHI","2.2","21.8","0.2","0.0","5.8"
"Jordan Reed","WAS","2.7","24.2","0.1","0.0","5.7"
"Jack Doyle","IND","2.8","24.2","0.1","0.1","5.7"
"Ryan Griffin","NYJ","2.1","25.8","0.1","0.0","5.4"
"Mike Gesicki","MIA","2.1","28.0","0.1","0.1","5.3"
"Geoff Swaim","JAC","2.5","23.6","0.1","0.0","5.3"
"Trey Burton","CHI","2.1","23.2","0.1","0.0","5.0"
"Will Dissly","SEA","1.7","24.6","0.1","0.0","5.0"
"Cameron Brate","TB","2.0","17.8","0.2","0.0","4.9"
"Tyler Higbee","LAR","1.9","21.1","0.1","0.0","4.8"
"Hayden Hurst","BAL","2.0","21.9","0.1","0.0","4.7"
"C.J. Uzomah","CIN","1.8","20.2","0.1","0.0","4.5"
"Nick Vannett","SEA","1.8","19.7","0.1","0.0","4.4"
"Virgil Green","LAC","1.9","21.6","0.1","0.1","4.4"
"Blake Jarwin","DAL","1.7","17.8","0.2","0.0","4.4"
"James O'Shaughnessy","JAC","2.0","17.7","0.1","0.0","4.1"
"Ian Thomas","CAR","1.5","17.2","0.1","0.0","4.0"
"Marcedes Lewis","GB","1.3","14.8","0.2","0.0","3.8"
"Foster Moreau","OAK","1.5","15.2","0.1","0.0","3.7"
"Gerald Everett","LAR","1.5","14.4","0.1","0.0","3.6"
"Jonnu Smith","TEN","1.2","14.0","0.2","0.0","3.6"
"Jeff Heuerman","DEN","1.5","13.4","0.1","0.0","3.5"
"Jordan Akins","HOU","1.3","17.1","0.1","0.0","3.4"
"Nick Boyle","BAL","1.5","12.2","0.1","0.0","3.4"
"Tommy Sweeney","BUF","1.3","13.9","0.1","0.0","3.0"
"Tyler Kroft","BUF","1.2","12.6","0.1","0.0","3.0"
"Garrett Celek","SF","0.7","11.4","0.2","0.0","3.0"
"Jesse James","DET","1.2","13.0","0.1","0.0","3.0"
"Charles Clay","ARI","1.4","13.8","0.0","0.1","3.0"
"Adam Shaheen","CHI","1.2","12.1","0.1","0.0","2.8"
"Demetrius Harris","CLE","1.0","10.8","0.1","0.0","2.7"
"Ryan Izzo","NE","1.0","11.2","0.1","0.0","2.6"
"Irv Smith Jr.","MIN","1.1","11.1","0.1","0.0","2.6"
"Dawson Knox","BUF","0.9","10.8","0.1","0.0","2.4"
"Nick O'Leary","MIA","0.8","12.0","0.1","0.0","2.4"
"Robert Tonyan","GB","0.8","11.0","0.1","0.0","2.3"
"Zach Gentry","PIT","0.8","8.7","0.1","0.0","2.3"
"Deon Yelder","KC","0.7","9.7","0.1","0.0","2.3"
"Rhett Ellison","NYG","1.0","9.4","0.0","0.0","2.2"
"Mo Alie-Cox","IND","0.8","10.3","0.1","0.0","2.2"
"Josh Hill","NO","0.9","8.6","0.1","0.0","2.2"
"Tanner Hudson","TB","0.7","8.5","0.1","0.0","2.2"
"Kaden Smith","SF","0.7","7.8","0.1","0.0","2.1"
"Darren Fells","HOU","0.7","6.9","0.1","0.0","2.1"
"Luke Stocker","ATL","0.7","6.7","0.1","0.0","2.0"
"Matt LaCosse","NE","0.7","8.1","0.1","0.0","1.9"
"Garrett Griffin","NO","0.7","6.2","0.1","0.0","1.9"
"Maxx Williams","ARI","0.8","7.0","0.0","0.0","1.8"
"MyCole Pruitt","TEN","0.6","6.0","0.1","0.0","1.7"
"Drew Sample","CIN","0.7","6.7","0.1","0.0","1.6"
"Chris Manhertz","CAR","0.5","7.5","0.1","0.0","1.6"
"Blake Bell","KC","0.7","6.9","0.0","0.0","1.6"
"Lee Smith","BUF","0.5","4.8","0.1","0.0","1.6"
"Derek Carrier","OAK","0.5","5.2","0.0","0.0","1.3"
"Logan Paulsen","HOU","0.4","4.7","0.1","0.0","1.3"
"Jeremy Sprinkle","WAS","0.5","4.9","0.1","0.0","1.3"
"Daniel Brown","NYJ","0.5","5.1","0.0","0.0","1.1"
"Ross Dwelley","SF","0.4","4.3","0.0","0.0","1.1"
"Anthony Firkser","TEN","0.5","5.3","0.0","0.0","1.1"
"Dalton Schultz","DAL","0.5","4.6","0.0","0.0","1.0"
"Trevon Wesco","NYJ","0.4","3.5","0.1","0.0","1.0"
"Ricky Seals-Jones","CLE","0.4","4.1","0.0","0.0","0.9"
"Xavier Grimble","PIT","0.4","5.0","0.0","0.1","0.9"
"Levine Toilolo","SF","0.4","4.9","0.0","0.0","0.9"
"Durham Smythe","MIA","0.4","4.2","0.0","0.0","0.8"
"Antony Auclair","TB","0.4","3.9","0.0","0.0","0.8"
"Tyler Conklin","NE","0.3","4.6","0.0","0.0","0.8"
"Hale Hentges","IND","0.4","4.0","0.0","0.0","0.8"
"Eric Saubert","OAK","0.3","2.9","0.0","0.0","0.7"
"Seth DeValve","JAC","0.3","3.4","0.0","0.0","0.7"
"Sean Culkin","LAC","0.3","3.0","0.0","0.0","0.7"
"Ben Braunecker","CHI","0.3","3.4","0.0","0.0","0.7"
"Logan Thomas","DET","0.2","2.3","0.0","0.0","0.5"
"Eric Tomlinson","NYG","0.3","2.4","0.0","0.0","0.5"
"Jerell Adams","HOU","0.2","2.0","0.0","0.0","0.5"
"Cethan Carter","CIN","0.1","1.1","0.0","0.0","0.3"
"Jaeden Graham","ATL","0.0","0.0","0.0","0.0","0.0"
"Troy Fumagalli","DEN","0.0","0.0","0.0","0.0","0.0"
"Bradley Sowell","CHI","0.0","0.0","0.0","0.0","0.0"
"Patrick Scales","CHI","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","DEN","0.0","0.0","0.0","0.0","0.0"
""
""
