"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Michael Thomas","NO","8.4","90.5","0.6","0.0","0.0","0.0","0.1","21.0"
"DeAndre Hopkins","HOU","7.0","88.8","0.8","0.0","0.0","0.0","0.1","20.3"
"Davante Adams","GB","7.1","85.4","0.8","0.0","0.0","0.0","0.1","20.0"
"Julio Jones","ATL","6.9","95.9","0.6","0.1","0.6","0.0","0.1","19.7"
"Keenan Allen","LAC","6.9","93.3","0.6","0.3","2.2","0.0","0.1","19.6"
"Sammy Watkins","KC","5.7","91.1","0.8","0.3","1.9","0.0","0.1","19.5"
"Odell Beckham Jr.","CLE","6.5","87.3","0.7","0.3","1.5","0.0","0.1","19.4"
"JuJu Smith-Schuster","PIT","6.5","86.9","0.6","0.0","0.5","0.0","0.1","18.5"
"Julian Edelman","NE","6.2","76.7","0.6","0.7","5.9","0.0","0.1","17.6"
"Amari Cooper","DAL","5.8","77.6","0.6","0.2","0.9","0.0","0.1","17.2"
"Adam Thielen","MIN","6.0","77.3","0.5","0.3","2.0","0.0","0.1","16.9"
"D.J. Moore","CAR","6.0","73.9","0.4","0.9","9.8","0.0","0.2","16.6"
"T.Y. Hilton","IND","5.5","83.8","0.5","0.0","0.0","0.0","0.1","16.5"
"Tyler Boyd","CIN","5.7","72.4","0.6","0.3","1.9","0.0","0.1","16.4"
"Mike Evans","TB","5.3","80.5","0.5","0.0","0.0","0.0","0.1","16.3"
"Cooper Kupp","LAR","5.6","70.0","0.6","0.3","1.7","0.0","0.1","16.3"
"Robert Woods","LAR","5.8","77.3","0.3","0.8","5.9","0.0","0.1","15.9"
"Brandin Cooks","LAR","5.1","76.2","0.5","0.5","2.6","0.0","0.1","15.7"
"Alshon Jeffery","PHI","5.4","64.2","0.5","0.1","0.5","0.1","0.1","15.3"
"Tyrell Williams","OAK","5.0","70.1","0.5","0.1","0.5","0.0","0.1","15.2"
"Tyler Lockett","SEA","4.7","67.8","0.5","0.5","3.5","0.0","0.1","14.9"
"Stefon Diggs","MIN","5.4","62.4","0.5","0.4","2.2","0.0","0.1","14.9"
"Allen Robinson","CHI","4.9","68.4","0.5","0.1","0.4","0.0","0.1","14.6"
"Jamison Crowder","NYJ","6.2","66.5","0.3","0.4","2.4","0.0","0.1","14.4"
"Kenny Golladay","DET","4.6","68.3","0.5","0.1","0.6","0.0","0.0","14.3"
"Chris Godwin","TB","5.1","68.5","0.4","0.0","0.0","0.0","0.1","14.0"
"John Brown","BUF","4.1","65.5","0.5","0.2","0.8","0.0","0.0","13.9"
"Josh Gordon","NE","4.1","67.0","0.5","0.0","0.0","0.0","0.0","13.8"
"Robby Anderson","NYJ","3.9","58.9","0.5","0.2","0.8","0.0","0.1","13.1"
"Larry Fitzgerald","ARI","4.8","55.7","0.4","0.0","0.3","0.0","0.0","12.9"
"DeSean Jackson","PHI","3.9","64.3","0.3","0.3","2.0","0.0","0.0","12.7"
"Dede Westbrook","JAC","5.2","58.7","0.2","0.6","4.6","0.0","0.1","12.6"
"D.K. Metcalf","SEA","4.2","58.4","0.4","0.1","0.4","0.0","0.1","12.4"
"John Ross","CIN","4.2","49.2","0.5","0.3","1.4","0.0","0.0","12.0"
"Michael Gallup","DAL","3.7","55.0","0.4","0.0","0.0","0.0","0.0","11.9"
"Jarvis Landry","CLE","4.2","58.8","0.2","0.5","3.7","0.0","0.1","11.7"
"Calvin Ridley","ATL","3.9","53.6","0.4","0.3","1.4","0.0","0.1","11.6"
"Courtland Sutton","DEN","3.7","54.6","0.4","0.1","0.1","0.0","0.0","11.4"
