"Player","Team","FG","FGA","XPT","FPTS"
"Harrison Butker","KC","2.3","2.5","3.0","10.0"
"Justin Tucker","BAL","2.2","2.4","2.6","9.2"
"Stephen Gostkowski","NE","1.9","2.3","3.4","9.2"
"Greg Zuerlein","LAR","2.1","2.2","2.5","8.7"
"Ka'imi Fairbairn","HOU","2.0","2.3","2.6","8.7"
"Joey Slye","CAR","1.9","2.2","2.8","8.4"
"Robbie Gould","SF","2.1","2.2","2.1","8.2"
"Brett Maher","DAL","1.9","2.1","2.5","8.1"
"Ty Long","LAC","2.0","2.0","2.0","8.0"
"Michael Badgley","LAC","1.8","2.1","2.4","8.0"
"Matt Bryant","ATL","2.0","2.1","2.0","8.0"
"Chris Boswell","PIT","1.8","2.2","2.4","7.8"
"Wil Lutz","NO","1.7","1.9","2.5","7.6"
"Sam Ficken","NYJ","1.8","2.2","2.0","7.5"
"Randy Bullock","CIN","1.8","2.4","2.1","7.4"
"Jake Elliott","PHI","1.6","1.9","2.4","7.3"
"Mason Crosby","GB","1.6","2.0","2.3","7.2"
"Austin Seibert","CLE","1.6","1.8","2.6","7.2"
"Steven Hauschka","BUF","1.8","2.0","1.9","7.2"
"Aldrick Rosas","NYG","1.8","2.0","1.6","7.1"
"Matt Prater","DET","1.6","1.8","2.2","7.1"
"Cairo Santos","TEN","1.6","1.9","2.3","7.0"
"Adam Vinatieri","IND","1.6","2.1","2.0","6.9"
"Jason Myers","SEA","1.5","1.6","2.5","6.9"
"Dan Bailey","MIN","1.7","1.9","1.7","6.7"
"Daniel Carlson","OAK","1.5","1.8","2.2","6.7"
"Dustin Hopkins","WAS","1.6","1.8","1.9","6.7"
"Brandon McManus","DEN","1.5","1.7","2.0","6.6"
"Josh Lambo","JAC","1.6","1.8","1.6","6.5"
"Matt Gay","TB","1.5","1.7","2.1","6.5"
"Eddy Pineiro","CHI","1.5","1.7","1.9","6.4"
"Zane Gonzalez","ARI","1.3","1.6","1.5","5.3"
"Jason Sanders","MIA","1.2","1.4","1.2","4.8"
""
""
