,,Fantasy,,Rushing,,,Receiving,,,,,This Week,
Name,Games,Points,Pts/G,ATT,YDS,TD,REC,YDS,TD,TAR,Catch %,Opp,Opp RBs This Week
49ers,1,24.10,24.1,21,108,0,7,63,0,11,63.6,@CIN,"Joe Mixon, Giovani Bernard, Samaje Perine"
Bears,1,8.40,8.4,18,39,0,3,15,0,3,100.0,@DEN,"Phillip Lindsay, Royce Freeman, Devontae Booker"
Bengals,1,26.80,26.8,21,64,1,6,34,1,7,85.7,SF,"Matt Breida, Raheem Mostert"
Bills,1,21.60,21.6,19,64,0,6,32,1,9,66.7,@NYG,"Saquon Barkley, Wayne Gallman, Paul Perkins"
Broncos,1,25.40,25.4,26,96,2,1,28,0,1,100.0,CHI,"David Montgomery, Tarik Cohen, Mike Davis"
Browns,1,33.20,33.2,22,91,1,4,81,1,6,66.7,@NYJ,"Le'Veon Bell, Ty Montgomery, Bilal Powell"
Buccaneers,1,16.30,16.3,30,100,0,3,33,0,5,60.0,@CAR,"Christian McCaffrey, Reggie Bonnafon, Jordan Scarlett"
Cardinals,1,16.70,16.7,28,90,0,4,37,0,4,100.0,@BAL,"Mark Ingram, Gus Edwards, Justice Hill"
Chargers,1,32.10,32.1,29,187,1,4,4,0,4,100.0,@DET,"Kerryon Johnson, C.J. Anderson, Ty Johnson"
Chiefs,1,13.10,13.1,14,73,0,4,28,0,7,57.1,@OAK,"Josh Jacobs, DeAndre Washington, Jalen Richard"
Colts,1,46.50,46.5,18,115,1,7,100,2,10,70.0,@TEN,"Derrick Henry, Dion Lewis, David Fluellen"
Cowboys,1,34.00,34.0,13,137,1,7,43,0,9,77.8,@WAS,"Adrian Peterson, Chris Thompson, Wendell Smallwood"
Dolphins,1,34.00,34.0,38,190,2,0,0,0,0,0.0,NE,"Sony Michel, James White, Rex Burkhead"
Eagles,1,21.60,21.6,13,28,0,10,88,0,13,76.9,@ATL,"Devonta Freeman, Ito Smith, Qadree Ollison"
Falcons,1,34.70,34.7,32,168,2,2,9,0,2,100.0,PHI,"Miles Sanders, Jordan Howard, Darren Sproles"
Giants,1,15.70,15.7,26,77,1,1,10,0,2,50.0,BUF,"Frank Gore, Devin Singletary, T.J. Yeldon"
Jaguars,1,30.10,30.1,23,107,1,8,54,0,8,100.0,@HOU,"Duke Johnson, Carlos Hyde, Taiwan Jones"
Jets,1,16.80,16.8,15,90,0,5,28,0,6,83.3,CLE,"Nick Chubb, Dontrell Hilliard, D'Ernest Johnson"
Lions,1,26.20,26.2,19,87,0,6,55,1,8,75.0,LAC,"Austin Ekeler, Justin Jackson, Troymaine Pope"
Packers,1,28.00,28.0,11,37,0,15,93,0,18,83.3,MIN,"Dalvin Cook, Alexander Mattison, Ameer Abdullah"
Panthers,1,28.40,28.4,26,150,2,1,4,0,1,100.0,TB,"Peyton Barber, Ronald Jones, Dare Ogunbowale"
Patriots,1,12.10,12.1,12,25,0,5,46,0,6,83.3,@MIA,"Kenyan Drake, Kalen Ballage, Mark Walton"
Raiders,1,17.70,17.7,21,99,0,5,28,0,7,71.4,KC,"Damien Williams, LeSean McCoy, Darwin Thompson"
Rams,1,45.90,45.9,19,128,2,10,81,0,11,90.9,NO,"Alvin Kamara, Latavius Murray, Dwayne Washington"
Ravens,1,7.00,7.0,10,12,0,3,28,0,4,75.0,ARI,"David Johnson, Chase Edmonds, D.J. Foster"
Redskins,1,20.50,20.5,26,116,0,6,29,0,8,75.0,DAL,"Ezekiel Elliott, Tony Pollard"
Saints,1,22.50,22.5,19,140,0,5,35,0,6,83.3,@LAR,"Todd Gurley, Malcolm Brown, Darrell Henderson"
Seahawks,1,12.00,12.0,13,31,0,4,49,0,6,66.7,@PIT,"James Conner, Jaylen Samuels, Benny Snell"
Steelers,1,28.80,28.8,28,91,0,10,97,0,15,66.7,SEA,"Chris Carson, Rashaad Penny, C.J. Prosise"
Texans,1,36.60,36.6,19,140,1,9,76,0,11,81.8,JAX,"Leonard Fournette, Ryquell Armstead, Tyler Ervin"
Titans,1,25.90,25.9,19,92,1,6,47,0,8,75.0,IND,"Marlon Mack, Nyheim Hines, Jonathan Williams"
Vikings,1,10.10,10.1,14,50,0,4,21,0,5,80.0,@GB,"Aaron Jones, Jamaal Williams, Dexter Williams"
