,,Fantasy,,Receiving,,,,,Rushing,,,This Week,
Name,Games,Points,Pts/G,REC,YDS,TD,TAR,Catch %,ATT,YDS,TD,Opp,Opp TEs This Week
49ers,1,9.00,9.0,6,40,0,7,85.7,0,0,0,@CIN,"C.J. Uzomah, Tyler Eifert"
Bears,1,19.20,19.2,6,72,1,9,66.7,0,0,0,@DEN,"Noah Fant, Jeff Heuerman"
Bengals,1,5.80,5.8,3,28,0,4,75.0,0,0,0,SF,"George Kittle, Ross Dwelley"
Bills,1,4.00,4.0,3,10,0,4,75.0,0,0,0,@NYG,"Evan Engram, Rhett Ellison"
Broncos,1,18.00,18.0,9,90,0,10,90.0,0,0,0,CHI,"Trey Burton, Adam Shaheen"
Browns,1,25.20,25.2,6,62,2,8,75.0,1,10,0,@NYJ,"Ryan Griffin, Daniel Brown"
Buccaneers,1,13.40,13.4,8,54,0,10,80.0,0,0,0,@CAR,"Greg Olsen, Ian Thomas"
Cardinals,1,30.60,30.6,7,146,1,10,70.0,0,0,0,@BAL,"Mark Andrews, Nick Boyle"
Chargers,1,6.10,6.1,3,31,0,6,50.0,0,0,0,@DET,"T.J. Hockenson, Jesse James"
Chiefs,1,12.90,12.9,8,49,0,9,88.9,0,0,0,@OAK,"Darren Waller, Foster Moreau"
Colts,1,11.40,11.4,5,64,0,6,83.3,0,0,0,@TEN,"Delanie Walker, Jonnu Smith"
Cowboys,1,33.40,33.4,12,124,1,16,75.0,0,0,0,@WAS,"Jordan Reed, Vernon Davis"
Dolphins,1,40.50,40.5,14,175,1,14,100.0,0,0,0,NE,"Matt LaCosse, Ryan Izzo"
Eagles,1,17.70,17.7,5,67,1,8,62.5,0,0,0,@ATL,"Austin Hooper, Luke Stocker"
Falcons,1,.00,0.0,0,0,0,1,0.0,0,0,0,PHI,"Zach Ertz, Dallas Goedert"
Giants,1,23.40,23.4,6,54,2,7,85.7,0,0,0,BUF,"Tyler Kroft, Dawson Knox"
Jaguars,1,13.50,13.5,4,95,0,9,44.4,0,0,0,@HOU,"Darren Fells, Jordan Akins"
Jets,1,6.60,6.6,3,36,0,4,75.0,0,0,0,CLE,"David Njoku, Demetrius Harris"
Lions,1,4.00,4.0,2,20,0,2,100.0,0,0,0,LAC,"Virgil Green, Sean Culkin"
Packers,1,1.60,1.6,1,6,0,2,50.0,0,0,0,MIN,"Kyle Rudolph, Irv Smith Jr."
Panthers,1,13.70,13.7,5,27,1,6,83.3,0,0,0,TB,"O.J. Howard, Cameron Brate"
Patriots,1,6.00,6.0,2,40,0,4,50.0,0,0,0,@MIA,"Mike Gesicki, Durham Smythe"
Raiders,1,4.40,4.4,2,29,0,4,50.0,1,-5,0,KC,"Travis Kelce, Blake Bell"
Rams,1,7.60,7.6,4,36,0,10,40.0,0,0,0,NO,"Jared Cook, Josh Hill"
Ravens,1,5.10,5.1,2,31,0,6,33.3,0,0,0,ARI,"Charles Clay, Maxx Williams"
Redskins,1,14.00,14.0,7,70,0,10,70.0,0,0,0,DAL,"Jason Witten, Blake Jarwin"
Saints,1,2.70,2.7,1,17,0,3,33.3,0,0,0,@LAR,"Tyler Higbee, Gerald Everett"
Seahawks,1,18.30,18.3,9,93,0,10,90.0,0,0,0,@PIT,"Vance McDonald, Xavier Grimble"
Steelers,1,1.30,1.3,1,3,0,2,50.0,0,0,0,SEA,"Will Dissly, Nick Vannett"
Texans,1,6.50,6.5,3,35,0,4,75.0,0,0,0,JAX,"James O'Shaughnessy, Geoff Swaim"
Titans,1,13.70,13.7,4,37,1,7,57.1,0,0,0,IND,"Eric Ebron, Jack Doyle"
Vikings,1,16.70,16.7,9,77,0,10,90.0,0,0,0,@GB,"Jimmy Graham, Marcedes Lewis"
