,,Fantasy,,Receiving,,,,,Rushing,,,This Week,
Name,Games,Points,Pts/G,REC,YDS,TD,TAR,Catch %,ATT,YDS,TD,Opp,Opp WRs This Week
49ers,1,22.10,22.1,7,91,1,16,43.8,0,0,0,@CIN,"Tyler Boyd, John Ross, Damion Willis"
Bears,1,20.60,20.6,9,116,0,15,60.0,1,0,0,@DEN,"Emmanuel Sanders, Courtland Sutton, DaeSean Hamilton"
Bengals,1,24.30,24.3,5,133,1,8,62.5,0,0,0,SF,"Marquise Goodwin, Deebo Samuel, Dante Pettis"
Bills,1,31.70,31.7,19,133,0,28,67.9,1,4,0,@NYG,"Sterling Shepard, Cody Latimer, Bennie Fowler"
Broncos,1,35.10,35.1,12,141,1,15,80.0,0,0,0,CHI,"Allen Robinson, Taylor Gabriel, Anthony Miller"
Browns,1,17.50,17.5,4,105,0,10,40.0,0,0,0,@NYJ,"Robby Anderson, Jamison Crowder, Demaryius Thomas"
Buccaneers,1,19.90,19.9,7,79,1,12,58.3,0,0,0,@CAR,"D.J. Moore, Curtis Samuel, Jarius Wright"
Cardinals,1,50.60,50.6,15,202,2,26,57.7,1,4,0,@BAL,"Willie Snead, Marquise Brown, Miles Boykin"
Chargers,1,42.20,42.2,14,155,2,17,82.4,1,7,0,@DET,"Kenny Golladay, Marvin Jones, Danny Amendola"
Chiefs,1,63.50,63.5,15,273,3,17,88.2,1,2,0,@OAK,"Tyrell Williams, J.J. Nelson, Hunter Renfrow"
Colts,1,38.90,38.9,13,169,1,17,76.5,0,0,0,@TEN,"Corey Davis, Adam Humphries, Tajae Sharpe"
Cowboys,1,29.60,29.6,14,156,0,20,70.0,0,0,0,@WAS,"Paul Richardson, Terry McLaurin, Trey Quinn"
Dolphins,1,55.30,55.3,8,203,4,10,80.0,0,0,0,NE,"Julian Edelman, Antonio Brown, Josh Gordon"
Eagles,1,52.50,52.5,15,225,2,22,68.2,0,0,0,@ATL,"Julio Jones, Mohamed Sanu, Calvin Ridley"
Falcons,1,20.90,20.9,6,89,1,6,100.0,0,0,0,PHI,"Alshon Jeffery, DeSean Jackson, Nelson Agholor"
Giants,1,70.10,70.1,18,341,2,22,81.8,0,0,0,BUF,"John Brown, Zay Jones, Cole Beasley"
Jaguars,1,54.90,54.9,12,214,3,16,75.0,1,5,0,@HOU,"DeAndre Hopkins, Will Fuller, Keke Coutee"
Jets,1,41.10,41.1,14,181,1,23,60.9,0,0,0,CLE,"Odell Beckham, Jarvis Landry, Rashard Higgins"
Lions,1,54.50,54.5,21,233,1,42,50.0,1,12,0,LAC,"Keenan Allen, Mike Williams, Travis Benjamin"
Packers,1,25.70,25.7,10,129,0,24,41.7,1,-2,0,MIN,"Adam Thielen, Stefon Diggs, Chad Beebe"
Panthers,1,34.10,34.1,17,155,0,31,54.8,2,16,0,TB,"Mike Evans, Chris Godwin, Breshad Perriman"
Patriots,1,39.00,39.0,20,190,0,37,54.1,0,0,0,@MIA,"DeVante Parker, Jakeem Grant, Albert Wilson"
Raiders,1,44.10,44.1,14,211,1,19,73.7,0,0,0,KC,"Sammy Watkins, Demarcus Robinson, Mecole Hardman"
Rams,1,22.20,22.2,11,122,0,16,68.8,0,0,0,NO,"Michael Thomas, Ted Ginn, Tre'Quan Smith"
Ravens,1,28.20,28.2,10,131,1,22,45.5,1,1,0,ARI,"Larry Fitzgerald, Christian Kirk, KeeSean Johnson"
Redskins,1,63.60,63.6,15,214,3,21,71.4,1,2,1,DAL,"Amari Cooper, Michael Gallup, Randall Cobb"
Saints,1,56.60,56.6,14,216,3,20,70.0,0,0,0,@LAR,"Brandin Cooks, Robert Woods, Cooper Kupp"
Seahawks,1,63.90,63.9,22,276,2,32,68.8,1,3,0,@PIT,"JuJu Smith-Schuster, Donte Moncrief, Ryan Switzer"
Steelers,1,61.38,61.4,14,273,3,20,70.0,1,8,0,SEA,"Tyler Lockett, DK Metcalf, Jaron Brown"
Texans,1,56.00,56.0,19,250,1,22,86.4,0,0,0,JAX,"Dede Westbrook, Chris Conley, D.J. Chark"
Titans,1,36.10,36.1,15,201,0,23,65.2,1,10,0,IND,"T.Y. Hilton, Deon Cain, Parris Campbell"
Vikings,1,52.50,52.5,20,206,2,30,66.7,1,-1,0,@GB,"Davante Adams, Marquez Valdes-Scantling, Geronimo Allison"
